level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,2/3 Wheelers,equal_weight_top_members,Automobile and Auto Components,Automobiles,10,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101002/,,stage_2,5,172.25,143.04,4.51,0.00734,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,101.49,100.39,0.39,1.22,True,False,2026-09-04 ratio=101.10 momentum=99.17; 2026-09-07 ratio=101.16 momentum=99.61; 2026-09-08 ratio=101.19 momentum=100.25; 2026-09-09 ratio=101.24 momentum=99.54; 2026-09-10 ratio=101.49 momentum=100.39,True
industry,Abrasives & Bearings,equal_weight_top_members,Capital Goods,Industrial Products,8,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205016/,,stage_2,4,87.21,83.74,1.56,0.00371,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,101.72,102.61,2.35,2.13,True,False,2026-09-04 ratio=99.37 momentum=100.48; 2026-09-07 ratio=99.34 momentum=101.38; 2026-09-08 ratio=100.24 momentum=103.55; 2026-09-09 ratio=100.86 momentum=103.17; 2026-09-10 ratio=101.72 momentum=102.61,True
industry,Advertising & Media Agencies,equal_weight_top_members,"Media, Entertainment & Publication",Media,10,https://www.screener.in/market/IN02/IN0204/IN020401/IN020401001/,,not_stage_2,0,55.94,69.87,-4.59,0.00238,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,lagging,99.04,101.23,0.52,3.2,False,True,2026-09-04 ratio=98.53 momentum=98.03; 2026-09-07 ratio=99.17 momentum=101.30; 2026-09-08 ratio=99.09 momentum=101.73; 2026-09-09 ratio=99.41 momentum=102.25; 2026-09-10 ratio=99.04 momentum=101.23,False
industry,Aerospace & Defense,equal_weight_top_members,Capital Goods,Aerospace & Defense,10,https://www.screener.in/market/IN07/IN0702/IN070201/IN070201001/,,stage_2,5,198.36,148.59,8.79,0.00845,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,102.11,98.08,0.29,-2.22,False,False,2026-09-04 ratio=101.82 momentum=100.29; 2026-09-07 ratio=101.65 momentum=101.51; 2026-09-08 ratio=102.43 momentum=102.95; 2026-09-09 ratio=102.07 momentum=99.54; 2026-09-10 ratio=102.11 momentum=98.08,False
industry,Aluminium,equal_weight_top_members,Metals & Mining,Non - Ferrous Metals,9,https://www.screener.in/market/IN01/IN0103/IN010302/IN010302001/,,stage_2,5,145.55,135.01,0.98,0.0062,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.42,99.35,0.24,1.22,False,False,2026-09-04 ratio=101.18 momentum=98.13; 2026-09-07 ratio=101.11 momentum=97.70; 2026-09-08 ratio=101.90 momentum=100.14; 2026-09-09 ratio=101.84 momentum=99.76; 2026-09-10 ratio=101.42 momentum=99.35,False
industry,"Aluminium, Copper & Zinc Products",equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205014/,,stage_2,5,134.63,117.29,2.95,0.00573,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.82,101.23,0.2,1.21,False,False,2026-09-04 ratio=101.61 momentum=100.02; 2026-09-07 ratio=101.57 momentum=99.81; 2026-09-08 ratio=101.92 momentum=101.82; 2026-09-09 ratio=101.85 momentum=100.60; 2026-09-10 ratio=101.82 momentum=101.23,False
industry,Amusement Parks/ Other Recreation,equal_weight_top_members,Consumer Services,Leisure Services,4,https://www.screener.in/market/IN02/IN0206/IN020601/IN020601003/,,stage_2,5,72.76,71.6,0.05,0.0031,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.06,93.76,-0.67,-7.44,False,False,2026-09-04 ratio=101.73 momentum=101.20; 2026-09-07 ratio=101.71 momentum=101.21; 2026-09-08 ratio=101.33 momentum=100.20; 2026-09-09 ratio=101.55 momentum=100.19; 2026-09-10 ratio=101.06 momentum=93.76,False
industry,Animal Feed,equal_weight_top_members,Fast Moving Consumer Goods,Food Products,6,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104001/,,not_stage_2,2,97.48,106.07,-0.66,0.00415,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,100.47,102.39,0.64,-1.05,False,False,2026-09-04 ratio=99.83 momentum=103.43; 2026-09-07 ratio=99.84 momentum=102.56; 2026-09-08 ratio=100.72 momentum=103.74; 2026-09-09 ratio=100.59 momentum=102.53; 2026-09-10 ratio=100.47 momentum=102.39,False
industry,Asset Management Company,equal_weight_top_members,Financial Services,Capital Markets,9,https://www.screener.in/market/IN05/IN0501/IN050103/IN050103001/,,stage_2,5,105.2,98.7,1.93,0.00448,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.77,102.84,0.65,0.25,False,False,2026-09-04 ratio=101.12 momentum=102.59; 2026-09-07 ratio=101.59 momentum=103.11; 2026-09-08 ratio=101.41 momentum=103.04; 2026-09-09 ratio=101.66 momentum=102.82; 2026-09-10 ratio=101.77 momentum=102.84,False
industry,Auto Components & Equipments,equal_weight_top_members,Automobile and Auto Components,Auto Components,10,https://www.screener.in/market/IN02/IN0201/IN020102/IN020102001/,,stage_2,4,125.11,114.3,3.4,0.00533,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.83,98.01,0.48,1.5,False,False,2026-09-04 ratio=100.34 momentum=96.52; 2026-09-07 ratio=100.56 momentum=97.58; 2026-09-08 ratio=100.85 momentum=98.85; 2026-09-09 ratio=101.00 momentum=99.52; 2026-09-10 ratio=100.83 momentum=98.01,False
