level,name,symbol,parent,sector,market_cap_cr,pe,roce,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,stock_score
stock,IL&FS Inv.Manag.,IVC.NS,Asset Management Company,Financial Services,260.02,67.36,4.07,,stage_2,5,8.28,7.7,0.13,0.00034,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.67,96.33,-0.86,-2.12,False,False,2026-06-19 ratio=101.53 momentum=98.45; 2026-06-22 ratio=101.33 momentum=99.00; 2026-06-23 ratio=101.39 momentum=99.05; 2026-06-24 ratio=101.09 momentum=95.04; 2026-06-25 ratio=100.67 momentum=96.33,128.61
stock,Samvardh. Mothe.,MOTHERSON.NS,Auto Components & Equipments,Automobile and Auto Components,160121.45,38.74,13.08,,stage_2,5,151.71,125.04,4.01,0.00631,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,101.53,100.38,0.4,3.48,True,False,2026-06-19 ratio=101.13 momentum=96.90; 2026-06-22 ratio=101.07 momentum=98.24; 2026-06-23 ratio=100.98 momentum=96.23; 2026-06-24 ratio=100.92 momentum=96.89; 2026-06-25 ratio=101.53 momentum=100.38,172.57
stock,Bosch,BOSCHLTD.NS,Auto Components & Equipments,Automobile and Auto Components,119282.23,50.75,21.54,,stage_2,5,40440.0,36128.0,0.98,1.68108,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.94,102.3,-0.45,-1.08,False,False,2026-06-19 ratio=102.39 momentum=103.38; 2026-06-22 ratio=102.20 momentum=103.75; 2026-06-23 ratio=102.32 momentum=102.54; 2026-06-24 ratio=102.05 momentum=101.98; 2026-06-25 ratio=101.94 momentum=102.30,168.16
stock,Bharat Forge,BHARATFORG.NS,Auto Components & Equipments,Automobile and Auto Components,102564.35,86.94,13.09,,stage_2,5,2145.3,1727.58,5.08,0.08918,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,102.35,101.42,0.74,0.17,False,False,2026-06-19 ratio=101.61 momentum=101.25; 2026-06-22 ratio=102.24 momentum=103.67; 2026-06-23 ratio=102.99 momentum=103.07; 2026-06-24 ratio=102.25 momentum=101.16; 2026-06-25 ratio=102.35 momentum=101.42,174.01
stock,Uno Minda,UNOMINDA.NS,Auto Components & Equipments,Automobile and Auto Components,65629.15,53.93,19.7,,not_stage_2,3,1136.5,1149.34,-2.06,0.04724,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,100.79,101.34,0.66,1.63,True,False,2026-06-19 ratio=100.13 momentum=99.71; 2026-06-22 ratio=100.00 momentum=100.98; 2026-06-23 ratio=100.53 momentum=99.75; 2026-06-24 ratio=99.54 momentum=98.95; 2026-06-25 ratio=100.79 momentum=101.34,100.65
stock,Schaeffler India,SCHAEFFLER.NS,Auto Components & Equipments,Automobile and Auto Components,64984.81,51.96,27.9,,stage_2,4,4157.6,3980.6,0.46,0.17283,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': False, 'near_52w_high': True}",improving,leading,99.94,101.18,-1.83,-1.13,False,False,2026-06-19 ratio=101.77 momentum=102.32; 2026-06-22 ratio=101.51 momentum=101.51; 2026-06-23 ratio=101.73 momentum=101.06; 2026-06-24 ratio=100.33 momentum=100.06; 2026-06-25 ratio=99.94 momentum=101.18,111.82
stock,Tube Investments,TIINDIA.NS,Auto Components & Equipments,Automobile and Auto Components,59115.76,89.76,16.96,,not_stage_2,3,3054.0,2720.78,1.1,0.12695,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,weakening,99.99,98.39,-1.66,-0.96,False,False,2026-06-19 ratio=101.65 momentum=99.35; 2026-06-22 ratio=101.64 momentum=100.56; 2026-06-23 ratio=101.51 momentum=99.46; 2026-06-24 ratio=100.78 momentum=98.26; 2026-06-25 ratio=99.99 momentum=98.39,62.2
stock,Sona BLW Precis.,SONACOMS.NS,Auto Components & Equipments,Automobile and Auto Components,38519.51,58.77,15.11,,stage_2,5,619.25,534.18,2.8,0.02574,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,101.17,100.97,0.15,2.04,True,False,2026-06-19 ratio=101.02 momentum=98.93; 2026-06-22 ratio=101.25 momentum=100.62; 2026-06-23 ratio=101.39 momentum=100.15; 2026-06-24 ratio=101.37 momentum=101.21; 2026-06-25 ratio=101.17 momentum=100.97,171.3
stock,Endurance Tech.,ENDURANCE.NS,Auto Components & Equipments,Automobile and Auto Components,37967.72,39.25,18.28,,not_stage_2,4,2699.2,2502.97,-0.68,0.1122,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,100.89,101.81,0.32,3.54,True,False,2026-06-19 ratio=100.58 momentum=98.26; 2026-06-22 ratio=100.87 momentum=100.78; 2026-06-23 ratio=101.05 momentum=101.69; 2026-06-24 ratio=101.03 momentum=101.83; 2026-06-25 ratio=100.89 momentum=101.81,123.5
stock,Exide Inds.,EXIDEIND.NS,Auto Components & Equipments,Automobile and Auto Components,33133.0,39.89,8.54,,stage_2,5,389.8,346.68,0.52,0.0162,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.77,97.56,0.17,1.41,False,False,2026-06-19 ratio=100.60 momentum=96.15; 2026-06-22 ratio=100.54 momentum=97.14; 2026-06-23 ratio=100.59 momentum=96.70; 2026-06-24 ratio=101.18 momentum=98.96; 2026-06-25 ratio=100.77 momentum=97.56,129.89
