level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,2/3 Wheelers,equal_weight_top_members,Automobile and Auto Components,Automobiles,9,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101002/,,stage_2,5,153.66,133.08,2.07,0.00644,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,102.29,99.99,0.31,-1.73,False,False,2026-07-17 ratio=101.98 momentum=101.72; 2026-07-20 ratio=102.20 momentum=102.67; 2026-07-21 ratio=102.33 momentum=102.47; 2026-07-22 ratio=102.34 momentum=99.47; 2026-07-23 ratio=102.29 momentum=99.99,False
industry,Abrasives & Bearings,equal_weight_top_members,Capital Goods,Industrial Products,8,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205016/,,not_stage_2,3,91.84,86.69,1.13,0.00385,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,lagging,99.69,100.22,0.35,2.21,False,True,2026-07-17 ratio=99.34 momentum=98.01; 2026-07-20 ratio=99.81 momentum=99.40; 2026-07-21 ratio=99.78 momentum=100.35; 2026-07-22 ratio=99.41 momentum=99.64; 2026-07-23 ratio=99.69 momentum=100.22,False
industry,Advertising & Media Agencies,equal_weight_top_members,"Media, Entertainment & Publication",Media,10,https://www.screener.in/market/IN02/IN0204/IN020401/IN020401001/,,not_stage_2,0,67.3,85.17,-4.32,0.00282,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,improving,99.26,99.14,-0.28,-3.3,False,False,2026-07-17 ratio=99.54 momentum=102.44; 2026-07-20 ratio=99.45 momentum=103.05; 2026-07-21 ratio=99.30 momentum=101.82; 2026-07-22 ratio=99.11 momentum=98.80; 2026-07-23 ratio=99.26 momentum=99.14,False
industry,Aerospace & Defense,equal_weight_top_members,Capital Goods,Aerospace & Defense,10,https://www.screener.in/market/IN07/IN0702/IN070201/IN070201001/,,stage_2,5,122.99,101.51,4.91,0.00515,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.64,99.21,0.55,3.17,False,False,2026-07-17 ratio=100.09 momentum=96.04; 2026-07-20 ratio=100.10 momentum=95.75; 2026-07-21 ratio=100.35 momentum=98.00; 2026-07-22 ratio=100.79 momentum=99.34; 2026-07-23 ratio=100.64 momentum=99.21,False
industry,Aluminium,equal_weight_top_members,Metals & Mining,Non - Ferrous Metals,8,https://www.screener.in/market/IN01/IN0103/IN010302/IN010302001/,,not_stage_2,2,136.5,141.07,1.4,0.00572,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,99.0,102.8,0.56,1.75,False,True,2026-07-17 ratio=98.44 momentum=101.05; 2026-07-20 ratio=98.58 momentum=102.01; 2026-07-21 ratio=98.72 momentum=104.64; 2026-07-22 ratio=98.87 momentum=101.91; 2026-07-23 ratio=99.00 momentum=102.80,False
industry,"Aluminium, Copper & Zinc Products",equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205014/,,not_stage_2,3,126.94,118.14,2.37,0.00532,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,lagging,99.12,101.42,0.9,5.45,False,True,2026-07-17 ratio=98.22 momentum=95.97; 2026-07-20 ratio=98.54 momentum=100.92; 2026-07-21 ratio=98.53 momentum=103.98; 2026-07-22 ratio=99.16 momentum=104.53; 2026-07-23 ratio=99.12 momentum=101.42,False
industry,Amusement Parks/ Other Recreation,equal_weight_top_members,Consumer Services,Leisure Services,3,https://www.screener.in/market/IN02/IN0206/IN020601/IN020601003/,,not_stage_2,0,69.33,71.5,-0.96,0.0029,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.87,99.99,0.05,2.57,False,False,2026-07-17 ratio=98.82 momentum=97.41; 2026-07-20 ratio=98.49 momentum=97.93; 2026-07-21 ratio=98.74 momentum=99.82; 2026-07-22 ratio=99.08 momentum=102.41; 2026-07-23 ratio=98.87 momentum=99.99,False
industry,Animal Feed,equal_weight_top_members,Fast Moving Consumer Goods,Food Products,5,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104001/,,not_stage_2,2,102.99,106.63,2.07,0.00431,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,98.99,101.32,-0.77,-1.05,False,False,2026-07-17 ratio=99.76 momentum=102.37; 2026-07-20 ratio=99.95 momentum=102.40; 2026-07-21 ratio=99.42 momentum=101.88; 2026-07-22 ratio=99.25 momentum=101.95; 2026-07-23 ratio=98.99 momentum=101.32,False
industry,Asset Management Company,equal_weight_top_members,Financial Services,Capital Markets,8,https://www.screener.in/market/IN05/IN0501/IN050103/IN050103001/,,not_stage_2,3,109.81,107.73,2.06,0.0046,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,weakening,98.15,97.02,-2.18,0.13,False,False,2026-07-17 ratio=100.32 momentum=96.89; 2026-07-20 ratio=99.98 momentum=97.76; 2026-07-21 ratio=98.97 momentum=97.37; 2026-07-22 ratio=98.56 momentum=97.67; 2026-07-23 ratio=98.15 momentum=97.02,False
industry,Auto Components & Equipments,equal_weight_top_members,Automobile and Auto Components,Auto Components,10,https://www.screener.in/market/IN02/IN0201/IN020102/IN020102001/,,stage_2,5,122.49,110.22,1.88,0.00513,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.66,101.31,0.58,0.83,False,False,2026-07-17 ratio=101.07 momentum=100.48; 2026-07-20 ratio=101.22 momentum=102.31; 2026-07-21 ratio=101.61 momentum=104.22; 2026-07-22 ratio=101.72 momentum=102.14; 2026-07-23 ratio=101.66 momentum=101.31,False
