level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,2/3 Wheelers,equal_weight_top_members,Automobile and Auto Components,Automobiles,10,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101002/,,stage_2,5,169.7,146.79,4.31,0.00731,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.99,94.84,-0.24,-4.71,False,False,2026-09-09 ratio=101.24 momentum=99.54; 2026-09-10 ratio=101.49 momentum=100.39; 2026-09-11 ratio=101.39 momentum=98.96; 2026-09-15 ratio=101.07 momentum=96.31; 2026-09-16 ratio=100.99 momentum=94.84,False
industry,Abrasives & Bearings,equal_weight_top_members,Capital Goods,Industrial Products,8,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205016/,,stage_2,4,88.31,86.61,1.42,0.0038,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,100.96,101.7,0.06,-1.45,False,False,2026-09-09 ratio=100.89 momentum=103.16; 2026-09-10 ratio=101.77 momentum=102.60; 2026-09-11 ratio=102.67 momentum=102.82; 2026-09-15 ratio=100.82 momentum=101.54; 2026-09-16 ratio=100.96 momentum=101.70,False
industry,Advertising & Media Agencies,equal_weight_top_members,"Media, Entertainment & Publication",Media,10,https://www.screener.in/market/IN02/IN0204/IN020401/IN020401001/,,not_stage_2,0,55.83,70.48,-4.88,0.0024,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,98.88,101.12,-0.54,-1.11,False,False,2026-09-09 ratio=99.42 momentum=102.23; 2026-09-10 ratio=99.06 momentum=101.23; 2026-09-11 ratio=99.14 momentum=101.28; 2026-09-15 ratio=98.96 momentum=100.81; 2026-09-16 ratio=98.88 momentum=101.12,False
industry,Aerospace & Defense,equal_weight_top_members,Capital Goods,Aerospace & Defense,10,https://www.screener.in/market/IN07/IN0702/IN070201/IN070201001/,,stage_2,5,194.86,152.83,8.75,0.00839,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.48,98.35,-0.59,-1.19,False,False,2026-09-09 ratio=102.07 momentum=99.54; 2026-09-10 ratio=102.11 momentum=98.08; 2026-09-11 ratio=102.41 momentum=99.81; 2026-09-15 ratio=101.48 momentum=97.47; 2026-09-16 ratio=101.48 momentum=98.35,False
industry,Aluminium,equal_weight_top_members,Metals & Mining,Non - Ferrous Metals,9,https://www.screener.in/market/IN01/IN0103/IN010302/IN010302001/,,stage_2,4,153.78,151.93,1.4,0.00662,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,100.76,99.39,-1.51,-1.92,False,False,2026-09-09 ratio=102.27 momentum=101.31; 2026-09-10 ratio=101.73 momentum=100.27; 2026-09-11 ratio=101.43 momentum=99.13; 2026-09-15 ratio=100.89 momentum=98.61; 2026-09-16 ratio=100.76 momentum=99.39,False
industry,"Aluminium, Copper & Zinc Products",equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205014/,,stage_2,4,125.69,118.52,2.78,0.00541,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,100.66,96.51,-1.05,-3.72,False,False,2026-09-09 ratio=101.70 momentum=100.23; 2026-09-10 ratio=101.68 momentum=100.79; 2026-09-11 ratio=101.56 momentum=95.79; 2026-09-15 ratio=100.99 momentum=95.06; 2026-09-16 ratio=100.66 momentum=96.51,False
industry,Amusement Parks/ Other Recreation,equal_weight_top_members,Consumer Services,Leisure Services,4,https://www.screener.in/market/IN02/IN0206/IN020601/IN020601003/,,stage_2,5,73.72,72.4,0.2,0.00318,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.34,98.41,-0.21,-1.79,False,False,2026-09-09 ratio=101.55 momentum=100.20; 2026-09-10 ratio=101.06 momentum=93.75; 2026-09-11 ratio=100.98 momentum=94.60; 2026-09-15 ratio=100.73 momentum=95.29; 2026-09-16 ratio=101.34 momentum=98.41,False
industry,Animal Feed,equal_weight_top_members,Fast Moving Consumer Goods,Food Products,6,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104001/,,not_stage_2,1,93.35,105.05,-1.48,0.00402,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,leading,99.88,101.05,-0.7,-1.47,False,False,2026-09-09 ratio=100.58 momentum=102.51; 2026-09-10 ratio=100.46 momentum=102.38; 2026-09-11 ratio=100.81 momentum=103.13; 2026-09-15 ratio=100.38 momentum=102.75; 2026-09-16 ratio=99.88 momentum=101.05,False
industry,Asset Management Company,equal_weight_top_members,Financial Services,Capital Markets,9,https://www.screener.in/market/IN05/IN0501/IN050103/IN050103001/,,not_stage_2,2,98.34,99.12,1.4,0.00424,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,leading,99.75,99.22,-1.92,-3.59,False,False,2026-09-09 ratio=101.67 momentum=102.81; 2026-09-10 ratio=101.77 momentum=102.84; 2026-09-11 ratio=101.54 momentum=103.16; 2026-09-15 ratio=100.24 momentum=99.97; 2026-09-16 ratio=99.75 momentum=99.22,False
industry,Auto Components & Equipments,equal_weight_top_members,Automobile and Auto Components,Auto Components,10,https://www.screener.in/market/IN02/IN0201/IN020102/IN020102001/,,not_stage_2,3,120.79,114.27,2.7,0.0052,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",weakening,weakening,100.11,96.44,-0.89,-3.08,False,False,2026-09-09 ratio=101.00 momentum=99.52; 2026-09-10 ratio=100.83 momentum=98.01; 2026-09-11 ratio=100.61 momentum=97.93; 2026-09-15 ratio=100.19 momentum=94.91; 2026-09-16 ratio=100.11 momentum=96.44,False
