level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,2/3 Wheelers,equal_weight_top_members,Automobile and Auto Components,Automobiles,9,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101002/,,stage_2,5,153.17,134.89,1.98,0.00644,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.83,99.77,-0.36,-2.92,False,False,2026-07-20 ratio=102.19 momentum=102.70; 2026-07-21 ratio=102.32 momentum=102.51; 2026-07-22 ratio=102.34 momentum=99.54; 2026-07-23 ratio=102.28 momentum=100.01; 2026-07-24 ratio=101.83 momentum=99.77,False
industry,Abrasives & Bearings,equal_weight_top_members,Capital Goods,Industrial Products,8,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205016/,,stage_2,5,94.98,87.36,1.2,0.004,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,lagging,101.32,102.91,1.52,3.5,True,False,2026-07-20 ratio=99.80 momentum=99.42; 2026-07-21 ratio=99.78 momentum=100.38; 2026-07-22 ratio=99.41 momentum=99.69; 2026-07-23 ratio=99.81 momentum=100.51; 2026-07-24 ratio=101.32 momentum=102.91,True
industry,Advertising & Media Agencies,equal_weight_top_members,"Media, Entertainment & Publication",Media,10,https://www.screener.in/market/IN02/IN0204/IN020401/IN020401001/,,not_stage_2,0,70.59,87.01,-4.02,0.00297,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,99.43,100.07,-0.05,-2.99,False,False,2026-07-20 ratio=99.48 momentum=103.06; 2026-07-21 ratio=99.31 momentum=101.74; 2026-07-22 ratio=99.11 momentum=98.71; 2026-07-23 ratio=99.27 momentum=99.02; 2026-07-24 ratio=99.43 momentum=100.07,False
industry,Aerospace & Defense,equal_weight_top_members,Capital Goods,Aerospace & Defense,10,https://www.screener.in/market/IN07/IN0702/IN070201/IN070201001/,,stage_2,5,176.17,130.16,8.46,0.00741,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.59,97.4,0.19,0.68,False,False,2026-07-20 ratio=100.40 momentum=96.72; 2026-07-21 ratio=100.39 momentum=97.86; 2026-07-22 ratio=100.64 momentum=98.82; 2026-07-23 ratio=100.39 momentum=97.49; 2026-07-24 ratio=100.59 momentum=97.40,False
industry,Aluminium,equal_weight_top_members,Metals & Mining,Non - Ferrous Metals,8,https://www.screener.in/market/IN01/IN0103/IN010302/IN010302001/,,not_stage_2,2,137.62,143.53,1.34,0.00579,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,98.96,102.04,0.38,0.03,False,True,2026-07-20 ratio=98.58 momentum=102.00; 2026-07-21 ratio=98.72 momentum=104.67; 2026-07-22 ratio=98.87 momentum=101.90; 2026-07-23 ratio=99.00 momentum=102.78; 2026-07-24 ratio=98.96 momentum=102.04,False
industry,"Aluminium, Copper & Zinc Products",equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205014/,,not_stage_2,3,127.24,117.5,2.42,0.00535,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,99.55,102.44,1.01,1.49,False,True,2026-07-20 ratio=98.55 momentum=100.94; 2026-07-21 ratio=98.54 momentum=103.93; 2026-07-22 ratio=99.15 momentum=104.64; 2026-07-23 ratio=99.21 momentum=101.71; 2026-07-24 ratio=99.55 momentum=102.44,False
industry,Amusement Parks/ Other Recreation,equal_weight_top_members,Consumer Services,Leisure Services,3,https://www.screener.in/market/IN02/IN0206/IN020601/IN020601003/,,not_stage_2,0,69.42,71.28,-0.94,0.00292,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,lagging,99.31,101.51,0.81,3.59,False,True,2026-07-20 ratio=98.50 momentum=97.92; 2026-07-21 ratio=98.75 momentum=99.82; 2026-07-22 ratio=99.09 momentum=102.42; 2026-07-23 ratio=98.88 momentum=100.00; 2026-07-24 ratio=99.31 momentum=101.51,False
industry,Animal Feed,equal_weight_top_members,Fast Moving Consumer Goods,Food Products,5,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104001/,,not_stage_2,2,106.43,109.35,2.16,0.00448,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,99.27,102.16,-0.68,-0.25,False,False,2026-07-20 ratio=99.95 momentum=102.40; 2026-07-21 ratio=99.42 momentum=101.87; 2026-07-22 ratio=99.25 momentum=101.94; 2026-07-23 ratio=98.99 momentum=101.32; 2026-07-24 ratio=99.27 momentum=102.16,False
industry,Asset Management Company,equal_weight_top_members,Financial Services,Capital Markets,8,https://www.screener.in/market/IN05/IN0501/IN050103/IN050103001/,,not_stage_2,3,110.5,107.85,2.03,0.00465,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.55,97.55,-1.43,-0.22,False,False,2026-07-20 ratio=99.98 momentum=97.78; 2026-07-21 ratio=98.98 momentum=97.39; 2026-07-22 ratio=98.58 momentum=97.68; 2026-07-23 ratio=98.17 momentum=97.02; 2026-07-24 ratio=98.55 momentum=97.55,False
industry,Auto Components & Equipments,equal_weight_top_members,Automobile and Auto Components,Auto Components,10,https://www.screener.in/market/IN02/IN0201/IN020102/IN020102001/,,stage_2,5,120.8,109.25,1.75,0.00508,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.64,101.64,0.17,-0.28,False,False,2026-07-20 ratio=101.47 momentum=101.93; 2026-07-21 ratio=101.78 momentum=103.76; 2026-07-22 ratio=101.92 momentum=101.73; 2026-07-23 ratio=101.82 momentum=100.79; 2026-07-24 ratio=101.64 momentum=101.64,False
