level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,2/3 Wheelers,equal_weight_top_members,Automobile and Auto Components,Automobiles,10,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101002/,,stage_2,5,172.23,143.8,4.51,0.00736,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.39,98.96,0.23,-0.66,False,False,2026-09-07 ratio=101.16 momentum=99.62; 2026-09-08 ratio=101.19 momentum=100.25; 2026-09-09 ratio=101.24 momentum=99.55; 2026-09-10 ratio=101.49 momentum=100.40; 2026-09-11 ratio=101.39 momentum=98.96,False
industry,Abrasives & Bearings,equal_weight_top_members,Capital Goods,Industrial Products,8,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205016/,,stage_2,5,89.02,84.3,1.61,0.0038,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,102.64,102.82,3.28,1.46,True,False,2026-09-07 ratio=99.36 momentum=101.36; 2026-09-08 ratio=100.27 momentum=103.54; 2026-09-09 ratio=100.87 momentum=103.17; 2026-09-10 ratio=101.74 momentum=102.61; 2026-09-11 ratio=102.64 momentum=102.82,True
industry,Advertising & Media Agencies,equal_weight_top_members,"Media, Entertainment & Publication",Media,10,https://www.screener.in/market/IN02/IN0204/IN020401/IN020401001/,,not_stage_2,0,56.51,70.78,-4.65,0.00242,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,99.11,101.25,-0.06,-0.01,False,False,2026-09-07 ratio=99.17 momentum=101.26; 2026-09-08 ratio=99.08 momentum=101.68; 2026-09-09 ratio=99.41 momentum=102.26; 2026-09-10 ratio=99.04 momentum=101.25; 2026-09-11 ratio=99.11 momentum=101.25,False
industry,Aerospace & Defense,equal_weight_top_members,Capital Goods,Aerospace & Defense,10,https://www.screener.in/market/IN07/IN0702/IN070201/IN070201001/,,stage_2,5,199.9,146.9,8.87,0.00854,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,102.41,99.83,0.76,-1.68,False,False,2026-09-07 ratio=101.66 momentum=101.50; 2026-09-08 ratio=102.44 momentum=102.97; 2026-09-09 ratio=102.08 momentum=99.55; 2026-09-10 ratio=102.11 momentum=98.08; 2026-09-11 ratio=102.41 momentum=99.83,False
industry,Aluminium,equal_weight_top_members,Metals & Mining,Non - Ferrous Metals,9,https://www.screener.in/market/IN01/IN0103/IN010302/IN010302001/,,stage_2,5,143.02,133.65,0.95,0.00611,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.27,98.43,0.15,0.69,False,False,2026-09-07 ratio=101.12 momentum=97.74; 2026-09-08 ratio=101.91 momentum=100.18; 2026-09-09 ratio=101.85 momentum=99.78; 2026-09-10 ratio=101.43 momentum=99.35; 2026-09-11 ratio=101.27 momentum=98.43,False
industry,"Aluminium, Copper & Zinc Products",equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205014/,,stage_2,5,134.13,117.45,2.96,0.00573,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.68,95.66,0.11,-4.16,False,False,2026-09-07 ratio=101.57 momentum=99.82; 2026-09-08 ratio=101.92 momentum=101.81; 2026-09-09 ratio=101.85 momentum=100.59; 2026-09-10 ratio=101.82 momentum=101.22; 2026-09-11 ratio=101.68 momentum=95.66,False
industry,Amusement Parks/ Other Recreation,equal_weight_top_members,Consumer Services,Leisure Services,4,https://www.screener.in/market/IN02/IN0206/IN020601/IN020601003/,,stage_2,4,72.79,71.99,0.04,0.00311,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,100.98,94.61,-0.73,-6.59,False,False,2026-09-07 ratio=101.71 momentum=101.21; 2026-09-08 ratio=101.33 momentum=100.20; 2026-09-09 ratio=101.55 momentum=100.19; 2026-09-10 ratio=101.07 momentum=93.76; 2026-09-11 ratio=100.98 momentum=94.61,False
industry,Animal Feed,equal_weight_top_members,Fast Moving Consumer Goods,Food Products,6,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104001/,,not_stage_2,3,97.24,104.39,-0.62,0.00416,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,100.88,103.15,0.98,0.58,True,False,2026-09-07 ratio=99.90 momentum=102.56; 2026-09-08 ratio=100.78 momentum=103.71; 2026-09-09 ratio=100.64 momentum=102.50; 2026-09-10 ratio=100.53 momentum=102.39; 2026-09-11 ratio=100.88 momentum=103.15,False
industry,Asset Management Company,equal_weight_top_members,Financial Services,Capital Markets,9,https://www.screener.in/market/IN05/IN0501/IN050103/IN050103001/,,stage_2,5,102.16,96.79,1.89,0.00437,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.53,103.17,-0.07,0.07,False,False,2026-09-07 ratio=101.60 momentum=103.10; 2026-09-08 ratio=101.41 momentum=103.04; 2026-09-09 ratio=101.67 momentum=102.82; 2026-09-10 ratio=101.77 momentum=102.84; 2026-09-11 ratio=101.53 momentum=103.17,False
industry,Auto Components & Equipments,equal_weight_top_members,Automobile and Auto Components,Auto Components,10,https://www.screener.in/market/IN02/IN0201/IN020102/IN020102001/,,stage_2,4,123.45,113.79,3.36,0.00528,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.61,97.93,0.04,0.35,False,False,2026-09-07 ratio=100.57 momentum=97.58; 2026-09-08 ratio=100.85 momentum=98.85; 2026-09-09 ratio=101.00 momentum=99.51; 2026-09-10 ratio=100.82 momentum=98.01; 2026-09-11 ratio=100.61 momentum=97.93,False
industry,Breweries & Distilleries,equal_weight_top_members,Fast Moving Consumer Goods,Beverages,10,https://www.screener.in/market/IN04/IN0401/IN040102/IN040102001/,,not_stage_2,2,96.12,99.97,1.08,0.00411,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.02,97.42,0.54,-0.34,False,False,2026-09-07 ratio=97.47 momentum=97.76; 2026-09-08 ratio=97.67 momentum=97.90; 2026-09-09 ratio=97.82 momentum=97.91; 2026-09-10 ratio=97.95 momentum=97.74; 2026-09-11 ratio=98.02 momentum=97.42,False
industry,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),equal_weight_top_members,Services,Commercial Services & Supplies,10,https://www.screener.in/market/IN09/IN0901/IN090104/IN090104005/,,not_stage_2,1,83.02,92.91,-1.18,0.00355,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,improving,97.3,97.96,-1.52,-2.09,False,False,2026-09-07 ratio=98.81 momentum=100.05; 2026-09-08 ratio=98.37 momentum=98.15; 2026-09-09 ratio=98.50 momentum=98.22; 2026-09-10 ratio=97.54 momentum=96.92; 2026-09-11 ratio=97.30 momentum=97.96,False
industry,Cables - Electricals,equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205003/,,stage_2,5,133.79,128.21,4.54,0.00572,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.56,98.89,0.35,-0.12,False,False,2026-09-07 ratio=100.21 momentum=99.01; 2026-09-08 ratio=100.39 momentum=100.12; 2026-09-09 ratio=100.55 momentum=100.30; 2026-09-10 ratio=100.68 momentum=100.32; 2026-09-11 ratio=100.56 momentum=98.89,False
industry,Cigarettes & Tobacco Products,equal_weight_top_members,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,5,https://www.screener.in/market/IN04/IN0401/IN040103/IN040103001/,,not_stage_2,0,63.46,78.14,-3.73,0.00271,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,99.05,102.44,-0.01,-0.15,False,False,2026-09-07 ratio=99.06 momentum=102.59; 2026-09-08 ratio=99.08 momentum=102.73; 2026-09-09 ratio=99.20 momentum=106.80; 2026-09-10 ratio=99.15 momentum=102.93; 2026-09-11 ratio=99.05 momentum=102.44,False
industry,Consulting Services,equal_weight_top_members,Services,Commercial Services & Supplies,6,https://www.screener.in/market/IN09/IN0901/IN090104/IN090104002/,,not_stage_2,3,76.87,78.32,-0.32,0.00329,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,lagging,101.24,102.05,1.26,2.11,True,False,2026-09-07 ratio=99.98 momentum=99.94; 2026-09-08 ratio=101.38 momentum=103.92; 2026-09-09 ratio=101.97 momentum=103.73; 2026-09-10 ratio=101.92 momentum=102.97; 2026-09-11 ratio=101.24 momentum=102.05,False
industry,E-Learning,equal_weight_top_members,Consumer Services,Other Consumer Services,7,https://www.screener.in/market/IN02/IN0206/IN020602/IN020602002/,,not_stage_2,0,82.24,84.9,-0.51,0.00351,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,97.61,98.21,-2.32,-1.77,False,False,2026-09-07 ratio=99.94 momentum=99.98; 2026-09-08 ratio=99.17 momentum=100.07; 2026-09-09 ratio=99.05 momentum=98.74; 2026-09-10 ratio=99.11 momentum=101.63; 2026-09-11 ratio=97.61 momentum=98.21,False
industry,"Film Production, Distribution & Exhibition",equal_weight_top_members,"Media, Entertainment & Publication",Entertainment,10,https://www.screener.in/market/IN02/IN0204/IN020402/IN020402001/,,not_stage_2,4,79.91,77.3,-0.08,0.00342,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.82,103.33,0.07,1.51,False,False,2026-09-07 ratio=101.75 momentum=101.82; 2026-09-08 ratio=101.88 momentum=102.48; 2026-09-09 ratio=101.20 momentum=99.58; 2026-09-10 ratio=101.31 momentum=100.19; 2026-09-11 ratio=101.82 momentum=103.33,False
industry,Footwear,equal_weight_top_members,Consumer Durables,Consumer Durables,9,https://www.screener.in/market/IN02/IN0202/IN020201/IN020201017/,,not_stage_2,3,74.07,71.34,-0.93,0.00317,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': False}",leading,leading,102.2,101.57,2.17,-1.61,False,False,2026-09-07 ratio=100.02 momentum=103.18; 2026-09-08 ratio=100.55 momentum=103.43; 2026-09-09 ratio=103.62 momentum=103.07; 2026-09-10 ratio=103.66 momentum=102.28; 2026-09-11 ratio=102.20 momentum=101.57,False
industry,General Insurance,equal_weight_top_members,Financial Services,Insurance,6,https://www.screener.in/market/IN05/IN0501/IN050104/IN050104001/,,not_stage_2,3,94.0,95.46,0.41,0.00402,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,100.15,101.85,-0.8,-1.02,False,False,2026-09-07 ratio=100.95 momentum=102.87; 2026-09-08 ratio=100.24 momentum=101.71; 2026-09-09 ratio=100.44 momentum=101.94; 2026-09-10 ratio=99.90 momentum=100.95; 2026-09-11 ratio=100.15 momentum=101.85,False
industry,Household Appliances,equal_weight_top_members,Consumer Durables,Consumer Durables,10,https://www.screener.in/market/IN02/IN0202/IN020201/IN020201007/,,not_stage_2,1,79.63,84.0,-0.62,0.0034,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,98.95,101.62,0.15,0.93,False,True,2026-09-07 ratio=98.79 momentum=100.69; 2026-09-08 ratio=98.53 momentum=100.99; 2026-09-09 ratio=98.51 momentum=99.68; 2026-09-10 ratio=98.80 momentum=95.88; 2026-09-11 ratio=98.95 momentum=101.62,False
industry,LPG/CNG/PNG/LNG Supplier,equal_weight_top_members,"Oil, Gas & Consumable Fuels",Gas,7,https://www.screener.in/market/IN03/IN0301/IN030101/IN030101003/,,stage_2,5,90.98,86.74,1.64,0.00389,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,102.56,102.27,0.78,-1.18,False,False,2026-09-07 ratio=101.78 momentum=103.45; 2026-09-08 ratio=102.00 momentum=103.29; 2026-09-09 ratio=103.96 momentum=103.27; 2026-09-10 ratio=102.99 momentum=102.47; 2026-09-11 ratio=102.56 momentum=102.27,False
