level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,2/3 Wheelers,equal_weight_top_members,Automobile and Auto Components,Automobiles,9,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101002/,,not_stage_2,1,115.67,116.64,-0.43,0.00481,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,99.0,96.86,-0.02,-1.01,False,False,2026-06-19 ratio=99.03 momentum=97.87; 2026-06-22 ratio=99.28 momentum=98.23; 2026-06-23 ratio=99.86 momentum=97.98; 2026-06-24 ratio=98.73 momentum=96.31; 2026-06-25 ratio=99.00 momentum=96.86,False
industry,Abrasives & Bearings,equal_weight_top_members,Capital Goods,Industrial Products,8,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205016/,,stage_2,5,100.39,90.54,0.79,0.00417,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.14,101.33,-0.6,-1.24,False,False,2026-06-19 ratio=101.74 momentum=102.56; 2026-06-22 ratio=101.59 momentum=101.20; 2026-06-23 ratio=101.86 momentum=102.22; 2026-06-24 ratio=101.13 momentum=100.48; 2026-06-25 ratio=101.14 momentum=101.33,False
industry,Advertising & Media Agencies,equal_weight_top_members,"Media, Entertainment & Publication",Media,10,https://www.screener.in/market/IN02/IN0204/IN020401/IN020401001/,,not_stage_2,0,69.77,93.37,-4.84,0.0029,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,98.56,101.69,0.21,-1.71,False,False,2026-06-19 ratio=98.35 momentum=103.40; 2026-06-22 ratio=98.47 momentum=104.17; 2026-06-23 ratio=98.45 momentum=103.42; 2026-06-24 ratio=98.51 momentum=104.03; 2026-06-25 ratio=98.56 momentum=101.69,False
industry,Aerospace & Defense,equal_weight_top_members,Capital Goods,Aerospace & Defense,10,https://www.screener.in/market/IN07/IN0702/IN070201/IN070201001/,,stage_2,5,243.58,157.65,7.24,0.01013,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.76,100.71,-0.12,0.26,False,False,2026-06-19 ratio=101.88 momentum=100.44; 2026-06-22 ratio=101.92 momentum=102.16; 2026-06-23 ratio=101.99 momentum=101.32; 2026-06-24 ratio=101.86 momentum=101.00; 2026-06-25 ratio=101.76 momentum=100.71,False
industry,Aluminium,equal_weight_top_members,Metals & Mining,Non - Ferrous Metals,8,https://www.screener.in/market/IN01/IN0103/IN010302/IN010302001/,,not_stage_2,2,150.87,153.69,2.42,0.00627,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,97.4,96.74,-1.61,-0.85,False,False,2026-06-19 ratio=99.01 momentum=97.58; 2026-06-22 ratio=99.18 momentum=98.54; 2026-06-23 ratio=98.24 momentum=95.62; 2026-06-24 ratio=97.80 momentum=95.79; 2026-06-25 ratio=97.40 momentum=96.74,False
industry,"Aluminium, Copper & Zinc Products",equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205014/,,stage_2,5,141.77,126.03,2.33,0.00589,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,100.29,100.43,-0.11,3.4,False,False,2026-06-19 ratio=100.40 momentum=97.03; 2026-06-22 ratio=100.89 momentum=101.00; 2026-06-23 ratio=100.92 momentum=100.66; 2026-06-24 ratio=101.00 momentum=102.07; 2026-06-25 ratio=100.29 momentum=100.43,False
industry,Amusement Parks/ Other Recreation,equal_weight_top_members,Consumer Services,Leisure Services,3,https://www.screener.in/market/IN02/IN0206/IN020601/IN020601003/,,not_stage_2,2,72.03,71.33,-1.47,0.00299,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': False, 'near_52w_high': False}",improving,lagging,99.82,102.47,0.96,4.98,False,True,2026-06-19 ratio=98.86 momentum=97.49; 2026-06-22 ratio=99.73 momentum=100.54; 2026-06-23 ratio=99.80 momentum=100.72; 2026-06-24 ratio=100.05 momentum=101.90; 2026-06-25 ratio=99.82 momentum=102.47,False
industry,Animal Feed,equal_weight_top_members,Fast Moving Consumer Goods,Food Products,5,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104001/,,stage_2,4,121.7,112.81,2.4,0.00506,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': False, 'near_52w_high': True}",improving,lagging,99.8,102.7,2.33,4.7,False,True,2026-06-19 ratio=97.47 momentum=98.00; 2026-06-22 ratio=98.08 momentum=99.21; 2026-06-23 ratio=98.51 momentum=99.46; 2026-06-24 ratio=98.89 momentum=95.41; 2026-06-25 ratio=99.80 momentum=102.70,False
industry,Asset Management Company,equal_weight_top_members,Financial Services,Capital Markets,7,https://www.screener.in/market/IN05/IN0501/IN050103/IN050103001/,,stage_2,5,128.22,115.9,1.65,0.00533,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,100.97,100.66,-1.34,-1.75,False,False,2026-06-19 ratio=102.31 momentum=102.41; 2026-06-22 ratio=102.02 momentum=102.54; 2026-06-23 ratio=102.39 momentum=102.39; 2026-06-24 ratio=101.70 momentum=100.80; 2026-06-25 ratio=100.97 momentum=100.66,False
industry,Auto Components & Equipments,equal_weight_top_members,Automobile and Auto Components,Auto Components,10,https://www.screener.in/market/IN02/IN0201/IN020102/IN020102001/,,stage_2,5,133.45,119.18,1.5,0.00555,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,101.52,101.38,0.01,1.99,True,False,2026-06-19 ratio=101.51 momentum=99.39; 2026-06-22 ratio=101.57 momentum=101.44; 2026-06-23 ratio=101.89 momentum=101.13; 2026-06-24 ratio=101.55 momentum=100.41; 2026-06-25 ratio=101.52 momentum=101.38,True
