level,name,symbol,parent,sector,market_cap_cr,dividend_yield_pct,np_qtr_cr,qtr_profit_var_pct,sales_qtr_cr,qtr_sales_var_pct,pe,roce,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,stock_score
stock,Bajaj Auto,BAJAJ-AUTO.NS,2/3 Wheelers,Automobile and Auto Components,323252.07,1.27,3188.75,45.93,21688.83,65.14,27.42,28.24,,stage_2,5,11790.0,10348.88,3.0,0.50317,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,101.24,100.26,-0.03,1.38,False,False,2026-09-03 ratio=101.27 momentum=98.88; 2026-09-04 ratio=101.21 momentum=99.60; 2026-09-07 ratio=101.09 momentum=98.69; 2026-09-08 ratio=101.26 momentum=99.29; 2026-09-09 ratio=101.24 momentum=100.26,158.5
stock,Eicher Motors,EICHERMOT.NS,2/3 Wheelers,Automobile and Auto Components,210884.93,1.07,1462.51,21.35,6632.42,31.55,36.26,30.53,,stage_2,4,7734.5,7427.65,0.95,0.33009,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.86,99.21,0.61,2.88,False,False,2026-09-02 ratio=100.25 momentum=96.33; 2026-09-03 ratio=100.20 momentum=97.10; 2026-09-04 ratio=99.94 momentum=97.56; 2026-09-08 ratio=100.68 momentum=98.59; 2026-09-09 ratio=100.86 momentum=99.21,111.2
stock,TVS Motor Co.,TVSMOTOR.NS,2/3 Wheelers,Automobile and Auto Components,195764.71,0.29,1057.61,67.11,16295.52,33.46,56.59,17.37,,stage_2,5,4151.1,3735.76,1.94,0.17716,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.65,97.02,-0.02,-0.37,False,False,2026-09-03 ratio=100.66 momentum=97.39; 2026-09-04 ratio=100.42 momentum=97.15; 2026-09-07 ratio=100.45 momentum=97.66; 2026-09-08 ratio=100.50 momentum=97.59; 2026-09-09 ratio=100.65 momentum=97.02,132.13
stock,Hero Motocorp,HEROMOTOCO.NS,2/3 Wheelers,Automobile and Auto Components,105271.06,3.5,1417.93,-17.18,13126.35,34.94,19.01,35.22,,not_stage_2,3,5218.0,5216.06,-0.26,0.22269,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.15,97.35,-0.09,0.8,False,False,2026-09-03 ratio=100.24 momentum=96.55; 2026-09-04 ratio=100.17 momentum=96.52; 2026-09-07 ratio=100.13 momentum=96.73; 2026-09-08 ratio=100.40 momentum=98.10; 2026-09-09 ratio=100.15 momentum=97.35,60.75
stock,Ather Energy,ATHERENERG.NS,2/3 Wheelers,Automobile and Auto Components,65644.16,0.0,-50.87,71.46,1216.92,88.79,,-19.77,,stage_2,5,1580.0,1058.17,12.73,0.06743,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.39,100.13,-0.38,-0.92,False,False,2026-09-03 ratio=101.77 momentum=101.04; 2026-09-04 ratio=101.40 momentum=100.28; 2026-09-07 ratio=101.48 momentum=100.66; 2026-09-08 ratio=101.35 momentum=100.81; 2026-09-09 ratio=101.39 momentum=100.13,178.06
stock,Ola Electric,OLAELEC.NS,2/3 Wheelers,Automobile and Auto Components,18120.22,0.0,-336.0,21.5,455.0,-45.05,,-19.56,,not_stage_2,2,37.31,36.23,2.39,0.00159,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,99.6,101.05,0.37,0.57,False,True,2026-09-03 ratio=99.24 momentum=100.48; 2026-09-04 ratio=99.59 momentum=101.06; 2026-09-07 ratio=99.59 momentum=101.30; 2026-09-08 ratio=99.57 momentum=102.69; 2026-09-09 ratio=99.60 momentum=101.05,50.03
stock,Ebix,EBIX.NS,2/3 Wheelers,Automobile and Auto Components,421.51,0.0,82.0,92.94,573.24,-5.08,,5.95,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Wardwizard Inno.,WARDINMOBI.NS,2/3 Wheelers,Automobile and Auto Components,173.57,1.73,0.19,-83.04,61.64,91.01,170.17,7.04,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Tunwal E-Motors,TUNWAL.NS,2/3 Wheelers,Automobile and Auto Components,142.5,0.4,4.23,-34.72,132.45,27.15,11.19,13.28,,not_stage_2,1,25.25,28.99,-1.72,0.00108,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': False}",improving,lagging,99.88,100.42,0.98,1.72,False,True,2026-09-03 ratio=98.90 momentum=98.69; 2026-09-04 ratio=98.67 momentum=98.21; 2026-09-07 ratio=98.60 momentum=97.94; 2026-09-08 ratio=99.61 momentum=101.23; 2026-09-09 ratio=99.88 momentum=100.42,22.1
stock,Delta Auto.,DELTIC.NS,2/3 Wheelers,Automobile and Auto Components,52.37,0.0,3.1,-47.28,37.54,-28.28,7.98,11.81,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
