level,name,symbol,parent,sector,market_cap_cr,dividend_yield_pct,np_qtr_cr,qtr_profit_var_pct,sales_qtr_cr,qtr_sales_var_pct,pe,roce,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,stock_score
stock,Bajaj Auto,BAJAJ-AUTO.NS,2/3 Wheelers,Automobile and Auto Components,311582.34,1.32,3188.75,45.93,21688.83,65.14,26.43,28.24,,stage_2,5,11338.0,9898.13,2.23,0.46754,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.92,101.75,-0.94,-1.16,False,False,2026-07-23 ratio=102.86 momentum=102.92; 2026-07-24 ratio=102.38 momentum=102.57; 2026-07-27 ratio=102.12 momentum=101.77; 2026-07-28 ratio=102.41 momentum=102.45; 2026-07-29 ratio=101.92 momentum=101.75,167.81
stock,Eicher Motors,EICHERMOT.NS,2/3 Wheelers,Automobile and Auto Components,213513.77,1.05,1462.51,21.35,6632.42,31.55,36.71,30.53,,stage_2,5,7779.0,7313.82,0.56,0.32078,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.39,101.93,-0.68,-0.21,False,False,2026-07-23 ratio=102.08 momentum=102.15; 2026-07-24 ratio=101.68 momentum=102.13; 2026-07-27 ratio=101.91 momentum=103.18; 2026-07-28 ratio=102.12 momentum=103.78; 2026-07-29 ratio=101.39 momentum=101.93,162.72
stock,TVS Motor Co.,TVSMOTOR.NS,2/3 Wheelers,Automobile and Auto Components,193666.47,0.29,1057.61,67.11,16295.52,33.46,55.98,17.37,,stage_2,5,4075.6,3612.88,0.36,0.16806,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,102.84,101.58,-0.61,-0.1,False,False,2026-07-23 ratio=103.44 momentum=101.68; 2026-07-24 ratio=102.87 momentum=101.55; 2026-07-27 ratio=102.43 momentum=100.71; 2026-07-28 ratio=102.90 momentum=101.56; 2026-07-29 ratio=102.84 momentum=101.58,167.82
stock,Hero Motocorp,HEROMOTOCO.NS,2/3 Wheelers,Automobile and Auto Components,103044.97,3.59,1473.92,25.72,12978.28,30.18,17.94,35.22,,not_stage_2,3,5149.1,5218.56,-2.06,0.21233,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.4,102.09,-1.15,-1.09,False,False,2026-07-23 ratio=102.55 momentum=103.18; 2026-07-24 ratio=101.02 momentum=101.67; 2026-07-27 ratio=101.66 momentum=102.00; 2026-07-28 ratio=102.12 momentum=102.49; 2026-07-29 ratio=101.40 momentum=102.09,97.45
stock,Ather Energy,ATHERENERG.NS,2/3 Wheelers,Automobile and Auto Components,49166.58,0.0,-100.23,57.23,1174.66,73.75,,-19.77,,stage_2,5,1246.1,880.15,8.93,0.05139,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.23,96.66,-0.25,0.31,False,False,2026-07-23 ratio=101.48 momentum=96.35; 2026-07-24 ratio=101.26 momentum=97.03; 2026-07-27 ratio=101.17 momentum=98.55; 2026-07-28 ratio=101.02 momentum=98.16; 2026-07-29 ratio=101.23 momentum=96.66,149.01
stock,Ola Electric,OLAELEC.NS,2/3 Wheelers,Automobile and Auto Components,17758.8,0.0,-500.0,42.53,265.0,-56.63,,-19.56,,not_stage_2,2,38.4,35.28,0.75,0.00158,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.99,97.26,0.17,0.08,False,False,2026-07-23 ratio=98.83 momentum=97.18; 2026-07-24 ratio=98.89 momentum=97.67; 2026-07-27 ratio=98.83 momentum=97.63; 2026-07-28 ratio=98.77 momentum=97.90; 2026-07-29 ratio=98.99 momentum=97.26,41.5
stock,Tunwal E-Motors,TUNWAL.NS,2/3 Wheelers,Automobile and Auto Components,151.73,0.38,4.23,-34.72,132.45,27.15,11.92,13.28,,not_stage_2,0,26.3,29.84,-4.41,0.00108,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,99.2,102.24,-0.11,-0.2,False,False,2026-07-22 ratio=99.31 momentum=102.43; 2026-07-23 ratio=99.30 momentum=102.55; 2026-07-24 ratio=99.30 momentum=102.57; 2026-07-27 ratio=99.13 momentum=102.15; 2026-07-28 ratio=99.20 momentum=102.24,11.2
stock,Delta Auto.,DELTIC.NS,2/3 Wheelers,Automobile and Auto Components,56.95,0.0,3.1,-47.28,37.54,-28.28,8.68,11.81,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Victory Ele.,VICTORYEV.NS,2/3 Wheelers,Automobile and Auto Components,39.75,0.0,0.53,-86.91,15.27,-52.67,18.49,10.52,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Grindwell Norton,GRINDWELL.NS,Abrasives & Bearings,Capital Goods,23464.07,0.9,115.31,22.3,803.3,14.19,53.78,21.18,,stage_2,5,2118.7,1742.77,3.96,0.08737,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,lagging,100.66,100.21,0.71,0.95,True,False,2026-07-23 ratio=99.95 momentum=99.26; 2026-07-24 ratio=100.07 momentum=99.34; 2026-07-27 ratio=99.86 momentum=99.33; 2026-07-28 ratio=100.14 momentum=99.88; 2026-07-29 ratio=100.66 momentum=100.21,167.27
