level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,Breweries & Distilleries,equal_weight_top_members,Fast Moving Consumer Goods,Beverages,10,https://www.screener.in/market/IN04/IN0401/IN040102/IN040102001/,,not_stage_2,4,114.22,106.09,-0.22,0.00476,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,101.57,101.47,0.58,4.88,True,False,2026-07-20 ratio=100.99 momentum=96.59; 2026-07-21 ratio=100.88 momentum=97.01; 2026-07-22 ratio=101.13 momentum=97.57; 2026-07-23 ratio=101.06 momentum=96.72; 2026-07-27 ratio=101.57 momentum=101.47,False
industry,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),equal_weight_top_members,Services,Commercial Services & Supplies,10,https://www.screener.in/market/IN09/IN0901/IN090104/IN090104005/,,not_stage_2,1,86.24,88.72,-0.95,0.00359,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,99.23,105.7,0.01,3.48,False,True,2026-07-20 ratio=99.22 momentum=102.21; 2026-07-21 ratio=99.26 momentum=103.02; 2026-07-22 ratio=99.33 momentum=103.56; 2026-07-23 ratio=99.35 momentum=103.52; 2026-07-27 ratio=99.23 momentum=105.70,False
industry,Cables - Electricals,equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205003/,,not_stage_2,2,134.68,132.17,1.54,0.00561,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,98.99,104.12,0.27,2.54,False,True,2026-07-20 ratio=98.72 momentum=101.58; 2026-07-21 ratio=98.78 momentum=102.87; 2026-07-22 ratio=98.86 momentum=103.49; 2026-07-23 ratio=98.85 momentum=103.42; 2026-07-27 ratio=98.99 momentum=104.12,False
industry,Cigarettes & Tobacco Products,equal_weight_top_members,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,4,https://www.screener.in/market/IN04/IN0401/IN040103/IN040103001/,,not_stage_2,0,74.98,86.01,-2.7,0.00312,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,lagging,97.69,100.49,-0.42,1.86,False,False,2026-07-20 ratio=98.11 momentum=98.63; 2026-07-21 ratio=98.34 momentum=98.98; 2026-07-22 ratio=96.92 momentum=96.75; 2026-07-23 ratio=96.92 momentum=96.65; 2026-07-27 ratio=97.69 momentum=100.49,False
industry,Consulting Services,equal_weight_top_members,Services,Commercial Services & Supplies,5,https://www.screener.in/market/IN09/IN0901/IN090104/IN090104002/,,not_stage_2,1,75.81,80.17,-1.77,0.00316,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,98.1,100.68,0.28,-0.78,False,False,2026-07-20 ratio=97.82 momentum=101.47; 2026-07-21 ratio=98.18 momentum=101.34; 2026-07-22 ratio=98.08 momentum=100.22; 2026-07-23 ratio=97.99 momentum=99.11; 2026-07-27 ratio=98.10 momentum=100.68,False
industry,E-Learning,equal_weight_top_members,Consumer Services,Other Consumer Services,7,https://www.screener.in/market/IN02/IN0206/IN020602/IN020602002/,,not_stage_2,2,93.13,87.05,-0.06,0.00388,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,99.78,99.88,0.42,3.01,False,False,2026-07-20 ratio=99.36 momentum=96.87; 2026-07-21 ratio=99.84 momentum=98.39; 2026-07-22 ratio=100.04 momentum=99.71; 2026-07-23 ratio=100.09 momentum=99.41; 2026-07-27 ratio=99.78 momentum=99.88,False
industry,"Film Production, Distribution & Exhibition",equal_weight_top_members,"Media, Entertainment & Publication",Entertainment,10,https://www.screener.in/market/IN02/IN0204/IN020402/IN020402001/,,not_stage_2,4,79.89,78.15,-1.65,0.00333,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,100.74,103.18,2.6,0.22,True,False,2026-07-20 ratio=98.15 momentum=102.96; 2026-07-21 ratio=98.59 momentum=104.29; 2026-07-22 ratio=98.79 momentum=102.91; 2026-07-23 ratio=99.88 momentum=102.59; 2026-07-27 ratio=100.74 momentum=103.18,False
industry,Footwear,equal_weight_top_members,Consumer Durables,Consumer Durables,9,https://www.screener.in/market/IN02/IN0202/IN020201/IN020201017/,,not_stage_2,1,73.49,72.43,-1.4,0.00306,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",weakening,leading,100.29,99.02,-0.83,-1.33,False,False,2026-07-20 ratio=101.13 momentum=100.35; 2026-07-21 ratio=101.15 momentum=100.64; 2026-07-22 ratio=100.72 momentum=99.57; 2026-07-23 ratio=100.07 momentum=98.21; 2026-07-27 ratio=100.29 momentum=99.02,False
industry,General Insurance,equal_weight_top_members,Financial Services,Insurance,6,https://www.screener.in/market/IN05/IN0501/IN050104/IN050104001/,,not_stage_2,3,95.44,94.93,0.26,0.00398,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.5,97.3,0.01,-0.98,False,False,2026-07-20 ratio=98.49 momentum=98.28; 2026-07-21 ratio=98.93 momentum=98.52; 2026-07-22 ratio=98.71 momentum=98.18; 2026-07-23 ratio=98.91 momentum=97.86; 2026-07-27 ratio=98.50 momentum=97.30,False
industry,Household Appliances,equal_weight_top_members,Consumer Durables,Consumer Durables,10,https://www.screener.in/market/IN02/IN0202/IN020201/IN020201007/,,not_stage_2,2,89.06,89.34,-1.03,0.00371,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,leading,99.58,99.57,-1.23,-2.42,False,False,2026-07-20 ratio=100.81 momentum=101.99; 2026-07-21 ratio=100.56 momentum=101.96; 2026-07-22 ratio=99.81 momentum=101.37; 2026-07-23 ratio=99.58 momentum=100.16; 2026-07-27 ratio=99.58 momentum=99.57,False
