level,name,symbol,parent,sector,market_cap_cr,dividend_yield_pct,np_qtr_cr,qtr_profit_var_pct,sales_qtr_cr,qtr_sales_var_pct,pe,roce,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,stock_score
stock,Bajaj Auto,BAJAJ-AUTO.NS,2/3 Wheelers,Automobile and Auto Components,326602.58,1.26,3188.75,45.93,21688.83,65.14,27.71,28.24,,stage_2,5,11800.0,10349.22,3.0,0.49623,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.09,98.69,-0.75,-3.63,False,False,2026-09-01 ratio=101.84 momentum=102.32; 2026-09-02 ratio=101.56 momentum=100.56; 2026-09-03 ratio=101.27 momentum=98.88; 2026-09-04 ratio=101.21 momentum=99.60; 2026-09-07 ratio=101.09 momentum=98.69,136.45
stock,Eicher Motors,EICHERMOT.NS,2/3 Wheelers,Automobile and Auto Components,212187.87,1.06,1462.51,21.35,6632.42,31.55,36.48,30.53,,not_stage_2,3,7630.5,7438.67,1.44,0.3193,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,weakening,99.94,97.56,-1.05,1.21,False,False,2026-08-31 ratio=100.99 momentum=96.35; 2026-09-01 ratio=101.05 momentum=96.80; 2026-09-02 ratio=100.25 momentum=96.33; 2026-09-03 ratio=100.20 momentum=97.10; 2026-09-04 ratio=99.94 momentum=97.56,62.88
stock,TVS Motor Co.,TVSMOTOR.NS,2/3 Wheelers,Automobile and Auto Components,196045.13,0.29,1057.61,67.11,16295.52,33.46,56.67,17.37,,stage_2,5,4132.0,3735.12,1.92,0.17377,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.45,97.66,-0.19,1.1,False,False,2026-09-01 ratio=100.64 momentum=96.56; 2026-09-02 ratio=100.67 momentum=97.08; 2026-09-03 ratio=100.66 momentum=97.39; 2026-09-04 ratio=100.42 momentum=97.15; 2026-09-07 ratio=100.45 momentum=97.66,131.09
stock,Hero Motocorp,HEROMOTOCO.NS,2/3 Wheelers,Automobile and Auto Components,106241.33,3.47,1417.93,-17.18,13126.35,34.94,19.18,35.22,,not_stage_2,2,5270.0,5217.79,-0.22,0.22162,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",weakening,weakening,100.13,96.73,-0.74,-0.38,False,False,2026-09-01 ratio=100.87 momentum=97.11; 2026-09-02 ratio=100.21 momentum=96.21; 2026-09-03 ratio=100.24 momentum=96.55; 2026-09-04 ratio=100.17 momentum=96.52; 2026-09-07 ratio=100.13 momentum=96.73,40.65
stock,Ather Energy,ATHERENERG.NS,2/3 Wheelers,Automobile and Auto Components,62629.11,0.0,-50.87,71.46,1216.92,88.79,,-19.77,,stage_2,5,1599.3,1058.81,12.8,0.06726,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.48,100.66,-0.89,-1.13,False,False,2026-09-01 ratio=102.37 momentum=101.79; 2026-09-02 ratio=102.09 momentum=101.56; 2026-09-03 ratio=101.77 momentum=101.04; 2026-09-04 ratio=101.40 momentum=100.28; 2026-09-07 ratio=101.48 momentum=100.66,181.3
stock,Ola Electric,OLAELEC.NS,2/3 Wheelers,Automobile and Auto Components,17421.29,0.0,-336.0,21.5,455.0,-45.05,,-19.56,,not_stage_2,2,37.96,36.25,2.45,0.0016,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,leading,99.59,101.3,-0.82,-0.4,False,False,2026-09-01 ratio=100.41 momentum=101.70; 2026-09-02 ratio=99.87 momentum=101.48; 2026-09-03 ratio=99.24 momentum=100.48; 2026-09-04 ratio=99.59 momentum=101.06; 2026-09-07 ratio=99.59 momentum=101.30,51.4
stock,Ebix,EBIX.NS,2/3 Wheelers,Automobile and Auto Components,425.32,0.0,82.0,92.94,573.24,-5.08,,5.95,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Wardwizard Inno.,WARDINMOBI.NS,2/3 Wheelers,Automobile and Auto Components,173.57,1.73,0.19,-83.04,61.64,91.01,170.17,7.04,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Tunwal E-Motors,TUNWAL.NS,2/3 Wheelers,Automobile and Auto Components,146.25,0.39,4.23,-34.72,132.45,27.15,11.49,13.28,,not_stage_2,0,24.9,28.98,-1.76,0.00105,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.6,97.94,0.23,0.58,False,False,2026-09-01 ratio=98.37 momentum=97.36; 2026-09-02 ratio=98.56 momentum=98.03; 2026-09-03 ratio=98.90 momentum=98.69; 2026-09-04 ratio=98.67 momentum=98.21; 2026-09-07 ratio=98.60 momentum=97.94,0.0
stock,Delta Auto.,DELTIC.NS,2/3 Wheelers,Automobile and Auto Components,54.81,0.0,3.1,-47.28,37.54,-28.28,8.36,11.81,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Timken India,TIMKEN.NS,Abrasives & Bearings,Capital Goods,23309.53,0.08,115.13,10.47,929.09,14.87,56.96,18.26,,not_stage_2,2,3098.7,3380.33,0.23,0.13031,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,99.5,102.59,-0.39,2.33,False,False,2026-09-01 ratio=99.89 momentum=100.27; 2026-09-02 ratio=99.58 momentum=99.98; 2026-09-03 ratio=99.57 momentum=101.02; 2026-09-04 ratio=99.58 momentum=101.67; 2026-09-07 ratio=99.50 momentum=102.59,53.41
stock,Grindwell Norton,GRINDWELL.NS,Abrasives & Bearings,Capital Goods,21298.06,0.99,115.31,22.3,803.3,14.19,48.82,21.18,,not_stage_2,3,1962.5,1825.04,3.64,0.08212,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.68,97.79,-0.48,2.16,False,False,2026-08-31 ratio=99.16 momentum=95.63; 2026-09-01 ratio=98.66 momentum=95.57; 2026-09-02 ratio=98.66 momentum=97.40; 2026-09-03 ratio=98.86 momentum=98.19; 2026-09-04 ratio=98.68 momentum=97.79,67.28
stock,Carborundum Uni.,CARBORUNIV.NS,Abrasives & Bearings,Capital Goods,20869.92,0.36,80.34,23.44,1426.63,17.03,83.22,10.52,,stage_2,4,1104.0,1006.7,4.56,0.04643,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",leading,lagging,100.57,101.02,0.63,2.03,True,False,2026-09-01 ratio=99.94 momentum=98.99; 2026-09-02 ratio=99.43 momentum=99.47; 2026-09-03 ratio=99.68 momentum=98.07; 2026-09-04 ratio=101.05 momentum=100.07; 2026-09-07 ratio=100.57 momentum=101.02,152.07
stock,SKF India Indus.,SKFINDUS.NS,Abrasives & Bearings,Capital Goods,14619.46,0.68,61.92,-13.84,970.77,18.3,38.03,29.89,,stage_2,5,3016.1,2498.34,1.93,0.12684,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,102.24,102.55,0.27,0.0,False,False,2026-09-01 ratio=101.96 momentum=102.54; 2026-09-02 ratio=102.79 momentum=101.94; 2026-09-03 ratio=102.78 momentum=102.40; 2026-09-04 ratio=102.12 momentum=101.95; 2026-09-07 ratio=102.24 momentum=102.55,172.81
stock,SKF India,SKFINDIA.NS,Abrasives & Bearings,Capital Goods,7597.32,2.61,61.84,32.31,587.79,27.09,51.16,13.33,,not_stage_2,2,1546.6,1609.85,-1.27,0.06504,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': False}",leading,lagging,100.38,100.93,0.65,4.18,True,False,2026-09-01 ratio=99.73 momentum=96.76; 2026-09-02 ratio=99.90 momentum=95.13; 2026-09-03 ratio=100.11 momentum=98.51; 2026-09-04 ratio=100.32 momentum=100.17; 2026-09-07 ratio=100.38 momentum=100.93,76.55
