level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,2/3 Wheelers,equal_weight_top_members,Automobile and Auto Components,Automobiles,9,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101002/,,stage_2,5,161.03,137.59,2.23,0.00662,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.82,98.97,0.02,-0.75,False,False,2026-07-24 ratio=101.80 momentum=99.72; 2026-07-27 ratio=101.64 momentum=100.59; 2026-07-28 ratio=101.68 momentum=100.56; 2026-07-29 ratio=101.75 momentum=96.63; 2026-07-30 ratio=101.82 momentum=98.97,False
industry,Abrasives & Bearings,equal_weight_top_members,Capital Goods,Industrial Products,8,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205016/,,stage_2,4,90.4,83.59,1.04,0.00372,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,leading,99.79,98.19,-1.22,-4.37,False,False,2026-07-24 ratio=101.01 momentum=102.56; 2026-07-27 ratio=100.78 momentum=102.31; 2026-07-28 ratio=100.79 momentum=101.65; 2026-07-29 ratio=100.59 momentum=101.31; 2026-07-30 ratio=99.79 momentum=98.19,False
industry,Advertising & Media Agencies,equal_weight_top_members,"Media, Entertainment & Publication",Media,10,https://www.screener.in/market/IN02/IN0204/IN020401/IN020401001/,,not_stage_2,0,69.78,85.38,-4.25,0.00287,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,99.09,96.25,-0.29,-3.58,False,False,2026-07-24 ratio=99.38 momentum=99.83; 2026-07-27 ratio=99.43 momentum=99.68; 2026-07-28 ratio=99.27 momentum=98.12; 2026-07-29 ratio=99.19 momentum=97.45; 2026-07-30 ratio=99.09 momentum=96.25,False
industry,Aerospace & Defense,equal_weight_top_members,Capital Goods,Aerospace & Defense,10,https://www.screener.in/market/IN07/IN0702/IN070201/IN070201001/,,stage_2,5,172.58,125.3,8.17,0.0071,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.66,98.7,0.07,1.32,False,False,2026-07-24 ratio=100.59 momentum=97.38; 2026-07-27 ratio=100.67 momentum=98.02; 2026-07-28 ratio=100.67 momentum=97.97; 2026-07-29 ratio=100.86 momentum=99.92; 2026-07-30 ratio=100.66 momentum=98.70,False
industry,Aluminium,equal_weight_top_members,Metals & Mining,Non - Ferrous Metals,8,https://www.screener.in/market/IN01/IN0103/IN010302/IN010302001/,,not_stage_2,2,136.89,141.15,0.94,0.00563,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,improving,98.94,99.78,-0.02,-2.26,False,False,2026-07-24 ratio=98.96 momentum=102.05; 2026-07-27 ratio=98.80 momentum=99.84; 2026-07-28 ratio=98.61 momentum=97.91; 2026-07-29 ratio=99.01 momentum=100.60; 2026-07-30 ratio=98.94 momentum=99.78,False
industry,"Aluminium, Copper & Zinc Products",equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205014/,,not_stage_2,3,122.56,117.2,2.14,0.00504,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,improving,98.03,98.76,-1.62,-3.84,False,False,2026-07-24 ratio=99.65 momentum=102.60; 2026-07-27 ratio=99.06 momentum=101.02; 2026-07-28 ratio=98.57 momentum=100.19; 2026-07-29 ratio=98.15 momentum=99.05; 2026-07-30 ratio=98.03 momentum=98.76,False
industry,Amusement Parks/ Other Recreation,equal_weight_top_members,Consumer Services,Leisure Services,3,https://www.screener.in/market/IN02/IN0206/IN020601/IN020601003/,,not_stage_2,0,68.16,70.55,-1.11,0.0028,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,improving,98.07,96.2,-1.2,-5.29,False,False,2026-07-24 ratio=99.27 momentum=101.48; 2026-07-27 ratio=98.47 momentum=98.67; 2026-07-28 ratio=98.52 momentum=97.53; 2026-07-29 ratio=98.33 momentum=96.88; 2026-07-30 ratio=98.07 momentum=96.20,False
industry,Animal Feed,equal_weight_top_members,Fast Moving Consumer Goods,Food Products,5,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104001/,,not_stage_2,2,108.92,113.11,2.17,0.00448,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,improving,98.93,97.84,-0.34,-4.32,False,False,2026-07-24 ratio=99.27 momentum=102.17; 2026-07-27 ratio=98.63 momentum=100.66; 2026-07-28 ratio=98.80 momentum=101.03; 2026-07-29 ratio=98.63 momentum=98.88; 2026-07-30 ratio=98.93 momentum=97.84,False
industry,Asset Management Company,equal_weight_top_members,Financial Services,Capital Markets,8,https://www.screener.in/market/IN05/IN0501/IN050103/IN050103001/,,not_stage_2,3,111.42,107.43,1.53,0.00458,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.36,97.33,-0.19,-0.22,False,False,2026-07-24 ratio=98.55 momentum=97.55; 2026-07-27 ratio=98.65 momentum=97.08; 2026-07-28 ratio=98.65 momentum=97.58; 2026-07-29 ratio=98.67 momentum=96.49; 2026-07-30 ratio=98.36 momentum=97.33,False
industry,Auto Components & Equipments,equal_weight_top_members,Automobile and Auto Components,Auto Components,10,https://www.screener.in/market/IN02/IN0201/IN020102/IN020102001/,,stage_2,5,120.89,107.66,1.8,0.00497,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.32,100.21,-0.33,-1.44,False,False,2026-07-24 ratio=101.65 momentum=101.65; 2026-07-27 ratio=101.75 momentum=101.83; 2026-07-28 ratio=101.44 momentum=101.44; 2026-07-29 ratio=101.13 momentum=99.99; 2026-07-30 ratio=101.32 momentum=100.21,False
