level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,2/3 Wheelers,equal_weight_top_members,Automobile and Auto Components,Automobiles,10,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101002/,,stage_2,5,165.95,140.81,4.38,0.00708,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.23,99.53,-0.16,-0.3,False,False,2026-09-03 ratio=101.39 momentum=99.84; 2026-09-04 ratio=101.10 momentum=99.15; 2026-09-07 ratio=101.15 momentum=99.58; 2026-09-08 ratio=101.19 momentum=100.23; 2026-09-09 ratio=101.23 momentum=99.53,False
industry,Abrasives & Bearings,equal_weight_top_members,Capital Goods,Industrial Products,8,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205016/,,stage_2,4,85.95,83.7,1.5,0.00367,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",leading,lagging,100.88,103.17,2.04,5.87,True,False,2026-09-03 ratio=98.84 momentum=97.31; 2026-09-04 ratio=99.38 momentum=100.50; 2026-09-07 ratio=99.35 momentum=101.38; 2026-09-08 ratio=100.26 momentum=103.55; 2026-09-09 ratio=100.88 momentum=103.17,True
industry,Advertising & Media Agencies,equal_weight_top_members,"Media, Entertainment & Publication",Media,10,https://www.screener.in/market/IN02/IN0204/IN020401/IN020401001/,,not_stage_2,0,57.59,70.6,-4.6,0.00246,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,lagging,99.41,102.22,0.86,4.47,False,True,2026-09-03 ratio=98.55 momentum=97.75; 2026-09-04 ratio=98.53 momentum=98.09; 2026-09-07 ratio=99.17 momentum=101.25; 2026-09-08 ratio=99.09 momentum=101.66; 2026-09-09 ratio=99.41 momentum=102.22,False
industry,Aerospace & Defense,equal_weight_top_members,Capital Goods,Aerospace & Defense,10,https://www.screener.in/market/IN07/IN0702/IN070201/IN070201001/,,stage_2,5,194.87,146.87,8.88,0.00832,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,102.05,99.49,0.35,-1.39,False,False,2026-09-03 ratio=101.70 momentum=100.88; 2026-09-04 ratio=101.82 momentum=100.29; 2026-09-07 ratio=101.65 momentum=101.48; 2026-09-08 ratio=102.41 momentum=102.87; 2026-09-09 ratio=102.05 momentum=99.49,False
industry,Aluminium,equal_weight_top_members,Metals & Mining,Non - Ferrous Metals,9,https://www.screener.in/market/IN01/IN0103/IN010302/IN010302001/,,stage_2,5,147.42,134.61,1.04,0.00629,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.84,99.75,0.65,1.23,False,False,2026-09-03 ratio=101.20 momentum=98.52; 2026-09-04 ratio=101.18 momentum=98.11; 2026-09-07 ratio=101.12 momentum=97.67; 2026-09-08 ratio=101.90 momentum=100.16; 2026-09-09 ratio=101.84 momentum=99.75,False
industry,"Aluminium, Copper & Zinc Products",equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205014/,,stage_2,5,133.96,117.46,2.9,0.00572,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.85,100.59,-0.19,-0.75,False,False,2026-09-03 ratio=102.04 momentum=101.34; 2026-09-04 ratio=101.60 momentum=100.02; 2026-09-07 ratio=101.56 momentum=99.78; 2026-09-08 ratio=101.92 momentum=101.81; 2026-09-09 ratio=101.85 momentum=100.59,False
industry,Amusement Parks/ Other Recreation,equal_weight_top_members,Consumer Services,Leisure Services,4,https://www.screener.in/market/IN02/IN0206/IN020601/IN020601003/,,stage_2,5,73.77,71.59,0.11,0.00315,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.55,100.19,0.07,-1.81,False,False,2026-09-03 ratio=101.48 momentum=102.00; 2026-09-04 ratio=101.73 momentum=101.20; 2026-09-07 ratio=101.71 momentum=101.21; 2026-09-08 ratio=101.33 momentum=100.19; 2026-09-09 ratio=101.55 momentum=100.19,False
industry,Animal Feed,equal_weight_top_members,Fast Moving Consumer Goods,Food Products,6,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104001/,,not_stage_2,2,99.5,107.86,-0.64,0.00425,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,100.57,102.54,1.04,0.05,True,False,2026-09-03 ratio=99.54 momentum=102.50; 2026-09-04 ratio=99.80 momentum=103.45; 2026-09-07 ratio=99.82 momentum=102.56; 2026-09-08 ratio=100.70 momentum=103.74; 2026-09-09 ratio=100.57 momentum=102.54,False
industry,Asset Management Company,equal_weight_top_members,Financial Services,Capital Markets,9,https://www.screener.in/market/IN05/IN0501/IN050103/IN050103001/,,stage_2,5,104.69,98.78,1.9,0.00447,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.66,102.82,0.57,-0.46,False,False,2026-09-03 ratio=101.09 momentum=103.28; 2026-09-04 ratio=101.12 momentum=102.60; 2026-09-07 ratio=101.59 momentum=103.11; 2026-09-08 ratio=101.40 momentum=103.04; 2026-09-09 ratio=101.66 momentum=102.82,False
industry,Auto Components & Equipments,equal_weight_top_members,Automobile and Auto Components,Auto Components,10,https://www.screener.in/market/IN02/IN0201/IN020102/IN020102001/,,stage_2,4,124.14,113.21,3.41,0.0053,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.99,99.52,0.4,3.27,False,False,2026-09-03 ratio=100.60 momentum=96.25; 2026-09-04 ratio=100.34 momentum=96.52; 2026-09-07 ratio=100.56 momentum=97.58; 2026-09-08 ratio=100.85 momentum=98.86; 2026-09-09 ratio=100.99 momentum=99.52,False
industry,Breweries & Distilleries,equal_weight_top_members,Fast Moving Consumer Goods,Beverages,10,https://www.screener.in/market/IN04/IN0401/IN040102/IN040102001/,,not_stage_2,2,96.31,99.55,1.1,0.00411,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,97.89,97.86,0.18,0.42,False,False,2026-09-03 ratio=97.71 momentum=97.44; 2026-09-04 ratio=97.53 momentum=97.61; 2026-09-07 ratio=97.59 momentum=97.73; 2026-09-08 ratio=97.77 momentum=97.86; 2026-09-09 ratio=97.89 momentum=97.86,False
