level,name,symbol,parent,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,is_candidate,sector_moving_to_leading
sector,Nifty FMCG,^CNXFMCG,,,not_stage_2,1,49558.7,50907.68,-1.71,2.06382,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,99.47,99.3,0.09,0.32,False,False,2026-06-15 ratio=99.38 momentum=98.97; 2026-06-16 ratio=99.63 momentum=99.38; 2026-06-17 ratio=99.37 momentum=99.46; 2026-06-18 ratio=99.29 momentum=99.19; 2026-06-19 ratio=99.47 momentum=99.30,False,False
sector,Nifty IT,^CNXIT,,,not_stage_2,0,27330.85,32421.21,-3.39,1.13613,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.2,97.76,0.16,1.47,False,False,2026-06-19 ratio=98.04 momentum=96.29; 2026-06-22 ratio=98.21 momentum=96.57; 2026-06-23 ratio=97.99 momentum=96.62; 2026-06-24 ratio=98.37 momentum=97.50; 2026-06-25 ratio=98.20 momentum=97.76,False,False
stock,Axis Bank,AXISBANK.NS,Private Banks,,stage_2,5,1377.2,1294.27,0.89,0.05725,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.47,99.11,0.3,-2.74,False,False,2026-06-19 ratio=101.17 momentum=101.84; 2026-06-22 ratio=101.04 momentum=101.19; 2026-06-23 ratio=101.53 momentum=101.24; 2026-06-24 ratio=101.72 momentum=100.03; 2026-06-25 ratio=101.47 momentum=99.11,False,False
stock,Sun Pharma,SUNPHARMA.NS,Pharma Largecap,,stage_2,5,1862.8,1751.88,0.44,0.07744,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,100.56,99.55,0.12,-0.92,False,False,2026-06-19 ratio=100.44 momentum=100.47; 2026-06-22 ratio=100.62 momentum=99.88; 2026-06-23 ratio=100.90 momentum=101.85; 2026-06-24 ratio=100.76 momentum=100.82; 2026-06-25 ratio=100.56 momentum=99.55,False,False
stock,ICICI Bank,ICICIBANK.NS,Private Banks,,not_stage_2,4,1387.5,1327.15,-0.34,0.05768,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,102.14,99.59,0.8,-2.45,False,False,2026-06-19 ratio=101.34 momentum=102.04; 2026-06-22 ratio=101.32 momentum=102.46; 2026-06-23 ratio=101.31 momentum=101.04; 2026-06-24 ratio=101.89 momentum=100.79; 2026-06-25 ratio=102.14 momentum=99.59,False,False
stock,Godrej Properties,GODREJPROP.NS,Real Estate Developers,,not_stage_2,4,1850.6,1778.4,-2.73,0.07693,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.55,105.27,0.97,4.6,False,False,2026-06-19 ratio=100.58 momentum=100.67; 2026-06-22 ratio=100.47 momentum=101.35; 2026-06-23 ratio=100.70 momentum=101.26; 2026-06-24 ratio=101.01 momentum=102.91; 2026-06-25 ratio=101.55 momentum=105.27,False,False
stock,Cipla,CIPLA.NS,Pharma Largecap,,not_stage_2,4,1440.1,1366.32,-1.2,0.05986,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.95,99.55,0.94,2.33,False,False,2026-06-19 ratio=100.01 momentum=97.23; 2026-06-22 ratio=100.71 momentum=98.54; 2026-06-23 ratio=101.11 momentum=100.05; 2026-06-24 ratio=100.98 momentum=99.81; 2026-06-25 ratio=100.95 momentum=99.55,False,False
stock,Maruti Suzuki,MARUTI.NS,Auto OEM,,not_stage_2,3,13745.0,14326.07,-2.16,0.57138,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,101.8,100.46,1.7,1.15,True,False,2026-06-19 ratio=100.10 momentum=99.31; 2026-06-22 ratio=100.01 momentum=99.29; 2026-06-23 ratio=100.98 momentum=99.57; 2026-06-24 ratio=99.40 momentum=98.19; 2026-06-25 ratio=101.80 momentum=100.46,False,False
stock,HDFC Bank,HDFCBANK.NS,Private Banks,,not_stage_2,3,796.3,854.26,-3.33,0.0331,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,101.68,104.22,1.73,2.68,True,False,2026-06-19 ratio=99.96 momentum=101.54; 2026-06-22 ratio=100.34 momentum=102.28; 2026-06-23 ratio=100.15 momentum=103.25; 2026-06-24 ratio=101.43 momentum=103.88; 2026-06-25 ratio=101.68 momentum=104.22,False,False
stock,DLF,DLF.NS,Real Estate Developers,,not_stage_2,3,621.35,612.88,-2.97,0.02583,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': False}",leading,leading,101.6,102.62,-0.57,1.29,False,False,2026-06-19 ratio=102.16 momentum=101.33; 2026-06-22 ratio=102.09 momentum=101.89; 2026-06-23 ratio=101.49 momentum=100.85; 2026-06-24 ratio=101.49 momentum=101.80; 2026-06-25 ratio=101.60 momentum=102.62,False,False
