level,name,symbol,parent,sector,market_cap_cr,dividend_yield_pct,np_qtr_cr,qtr_profit_var_pct,sales_qtr_cr,qtr_sales_var_pct,pe,roce,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,stock_score
stock,Bajaj Auto,BAJAJ-AUTO.NS,2/3 Wheelers,Automobile and Auto Components,305988.19,1.35,3188.75,45.93,21688.83,65.14,25.96,28.24,,stage_2,5,11130.0,9836.95,1.84,0.46829,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,102.38,102.57,2.01,-1.51,False,False,2026-07-20 ratio=100.37 momentum=104.09; 2026-07-21 ratio=100.10 momentum=103.32; 2026-07-22 ratio=102.10 momentum=103.11; 2026-07-23 ratio=102.86 momentum=102.92; 2026-07-24 ratio=102.38 momentum=102.57,173.43
stock,Eicher Motors,EICHERMOT.NS,2/3 Wheelers,Automobile and Auto Components,209451.82,1.07,1519.95,11.58,6080.09,16.01,37.68,30.52,,stage_2,5,7628.0,7299.0,0.42,0.32094,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.68,102.13,0.82,0.74,False,False,2026-07-20 ratio=100.86 momentum=101.38; 2026-07-21 ratio=101.57 momentum=101.67; 2026-07-22 ratio=101.52 momentum=101.08; 2026-07-23 ratio=102.08 momentum=102.15; 2026-07-24 ratio=101.68 momentum=102.13,164.89
stock,TVS Motor Co.,TVSMOTOR.NS,2/3 Wheelers,Automobile and Auto Components,183955.04,0.31,1057.61,67.11,16295.52,33.46,53.18,17.37,,stage_2,5,3870.2,3605.28,0.11,0.16284,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,102.87,101.55,2.31,4.22,True,False,2026-07-20 ratio=100.57 momentum=97.33; 2026-07-21 ratio=102.69 momentum=101.16; 2026-07-22 ratio=103.63 momentum=101.82; 2026-07-23 ratio=103.44 momentum=101.68; 2026-07-24 ratio=102.87 momentum=101.55,177.32
stock,Hero Motocorp,HEROMOTOCO.NS,2/3 Wheelers,Automobile and Auto Components,100264.7,3.69,1473.92,25.72,12978.28,30.18,17.45,35.22,,not_stage_2,3,5011.1,5244.69,-2.48,0.21084,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,101.02,101.67,1.5,-3.09,False,False,2026-07-20 ratio=99.52 momentum=104.75; 2026-07-21 ratio=100.19 momentum=102.78; 2026-07-22 ratio=100.19 momentum=102.12; 2026-07-23 ratio=102.55 momentum=103.18; 2026-07-24 ratio=101.02 momentum=101.67,93.45
stock,Ather Energy,ATHERENERG.NS,2/3 Wheelers,Automobile and Auto Components,47711.43,0.0,-100.23,57.23,1174.66,73.75,,-19.77,,stage_2,5,1208.7,863.33,8.89,0.05086,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.26,97.03,-0.9,-4.34,False,False,2026-07-20 ratio=102.16 momentum=101.37; 2026-07-21 ratio=101.99 momentum=100.48; 2026-07-22 ratio=101.79 momentum=96.87; 2026-07-23 ratio=101.48 momentum=96.35; 2026-07-24 ratio=101.26 momentum=97.03,149.08
stock,Ola Electric,OLAELEC.NS,2/3 Wheelers,Automobile and Auto Components,17162.14,0.0,-500.0,42.53,265.0,-56.63,,-19.56,,not_stage_2,2,37.08,35.36,1.86,0.00156,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.89,97.67,-0.43,1.32,False,False,2026-07-20 ratio=99.32 momentum=96.35; 2026-07-21 ratio=99.19 momentum=95.98; 2026-07-22 ratio=98.69 momentum=96.05; 2026-07-23 ratio=98.83 momentum=97.18; 2026-07-24 ratio=98.89 momentum=97.67,43.72
stock,Tunwal E-Motors,TUNWAL.NS,2/3 Wheelers,Automobile and Auto Components,152.89,0.38,4.23,-34.72,132.45,27.15,12.01,13.28,,not_stage_2,0,26.7,30.17,-5.01,0.00112,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,99.3,102.55,0.58,-1.66,False,False,2026-07-17 ratio=98.72 momentum=104.20; 2026-07-20 ratio=99.05 momentum=103.23; 2026-07-21 ratio=99.26 momentum=103.17; 2026-07-22 ratio=99.31 momentum=102.43; 2026-07-23 ratio=99.30 momentum=102.55,12.75
stock,Delta Auto.,DELTIC.NS,2/3 Wheelers,Automobile and Auto Components,56.27,0.0,3.1,-47.28,37.54,-28.28,8.58,11.81,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Victory Ele.,VICTORYEV.NS,2/3 Wheelers,Automobile and Auto Components,40.84,0.0,0.53,-86.91,15.27,-52.67,18.99,10.52,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Timken India,TIMKEN.NS,Abrasives & Bearings,Capital Goods,23493.09,0.08,154.79,-17.15,1073.14,14.19,58.97,18.26,,not_stage_2,2,3127.0,3346.39,0.71,0.13157,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,98.61,103.63,0.67,1.56,False,True,2026-07-20 ratio=97.94 momentum=102.07; 2026-07-21 ratio=97.94 momentum=104.61; 2026-07-22 ratio=98.08 momentum=103.69; 2026-07-23 ratio=98.29 momentum=102.90; 2026-07-24 ratio=98.61 momentum=103.63,59.57
