level,name,symbol,parent,sector,market_cap_cr,dividend_yield_pct,np_qtr_cr,qtr_profit_var_pct,sales_qtr_cr,qtr_sales_var_pct,pe,roce,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,stock_score
stock,BAJAJ-AUTO,BAJAJ-AUTO.NS,2/3 Wheelers,Automobile and Auto Components,324223.64,1.27,3188.75,45.93,21688.83,65.14,27.51,28.24,,stage_2,5,11919.0,10281.22,3.08,0.49875,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.21,99.6,-0.42,-1.78,False,False,2026-08-31 ratio=101.63 momentum=101.38; 2026-09-01 ratio=101.84 momentum=102.32; 2026-09-02 ratio=101.56 momentum=100.56; 2026-09-03 ratio=101.27 momentum=98.88; 2026-09-04 ratio=101.21 momentum=99.60,137.21
stock,EICHERMOT,EICHERMOT.NS,2/3 Wheelers,Automobile and Auto Components,211458.28,1.07,1462.51,21.35,6632.42,31.55,36.36,30.53,,not_stage_2,3,7630.5,7438.67,1.44,0.3193,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,weakening,99.94,97.56,-1.05,1.21,False,False,2026-08-31 ratio=100.99 momentum=96.35; 2026-09-01 ratio=101.05 momentum=96.80; 2026-09-02 ratio=100.25 momentum=96.33; 2026-09-03 ratio=100.20 momentum=97.10; 2026-09-04 ratio=99.94 momentum=97.56,62.88
stock,TVSMOTOR,TVSMOTOR.NS,2/3 Wheelers,Automobile and Auto Components,196168.36,0.29,1057.61,67.11,16295.52,33.46,56.71,17.37,,stage_2,5,4133.1,3726.21,2.27,0.17295,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.42,97.15,-0.63,0.29,False,False,2026-08-31 ratio=101.05 momentum=96.87; 2026-09-01 ratio=100.64 momentum=96.56; 2026-09-02 ratio=100.67 momentum=97.08; 2026-09-03 ratio=100.66 momentum=97.39; 2026-09-04 ratio=100.42 momentum=97.15,131.64
stock,HEROMOTOCO,HEROMOTOCO.NS,2/3 Wheelers,Automobile and Auto Components,105414.75,3.51,1417.93,-17.18,13126.35,34.94,19.04,35.22,,stage_2,4,5300.0,5228.26,0.07,0.22178,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.17,96.52,-0.42,-0.18,False,False,2026-08-31 ratio=100.59 momentum=96.70; 2026-09-01 ratio=100.87 momentum=97.11; 2026-09-02 ratio=100.21 momentum=96.21; 2026-09-03 ratio=100.24 momentum=96.55; 2026-09-04 ratio=100.17 momentum=96.52,105.99
stock,ATHERENERG,ATHERENERG.NS,2/3 Wheelers,Automobile and Auto Components,63428.83,0.0,-50.87,71.46,1216.92,88.79,,-19.77,,stage_2,5,1584.0,1029.11,13.23,0.06628,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.4,100.28,-1.04,-1.73,False,False,2026-08-31 ratio=102.44 momentum=102.01; 2026-09-01 ratio=102.37 momentum=101.79; 2026-09-02 ratio=102.09 momentum=101.56; 2026-09-03 ratio=101.77 momentum=101.04; 2026-09-04 ratio=101.40 momentum=100.28,179.86
stock,OLAELEC,OLAELEC.NS,2/3 Wheelers,Automobile and Auto Components,17555.65,0.0,-336.0,21.5,455.0,-45.05,,-19.56,,not_stage_2,2,38.2,36.02,1.93,0.0016,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,leading,99.59,101.06,-1.04,-1.19,False,False,2026-08-31 ratio=100.63 momentum=102.24; 2026-09-01 ratio=100.41 momentum=101.70; 2026-09-02 ratio=99.87 momentum=101.48; 2026-09-03 ratio=99.24 momentum=100.48; 2026-09-04 ratio=99.59 momentum=101.06,49.16
stock,EBIX,EBIX.NS,2/3 Wheelers,Automobile and Auto Components,436.94,0.0,82.0,92.94,573.24,-5.08,,5.95,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,WARDINMOBI,WARDINMOBI.NS,2/3 Wheelers,Automobile and Auto Components,173.28,1.73,0.19,-83.04,61.64,91.01,169.88,7.04,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,TUNWAL,TUNWAL.NS,2/3 Wheelers,Automobile and Auto Components,143.66,0.4,4.23,-34.72,132.45,27.15,11.28,13.28,,not_stage_2,0,25.1,29.11,-1.85,0.00105,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.67,98.21,-0.12,-0.01,False,False,2026-08-31 ratio=98.79 momentum=98.21; 2026-09-01 ratio=98.37 momentum=97.36; 2026-09-02 ratio=98.56 momentum=98.03; 2026-09-03 ratio=98.90 momentum=98.69; 2026-09-04 ratio=98.67 momentum=98.21,0.0
stock,DELTIC,DELTIC.NS,2/3 Wheelers,Automobile and Auto Components,53.74,0.0,3.1,-47.28,37.54,-28.28,8.19,11.81,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
