level,name,symbol,parent,sector,market_cap_cr,dividend_yield_pct,np_qtr_cr,qtr_profit_var_pct,sales_qtr_cr,qtr_sales_var_pct,pe,roce,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,stock_score
stock,Bajaj Auto,BAJAJ-AUTO.NS,2/3 Wheelers,Automobile and Auto Components,307380.72,1.34,3188.75,45.93,21688.83,65.14,26.08,28.24,,stage_2,5,11183.5,9892.98,2.18,0.46606,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,102.26,102.5,1.89,-1.58,False,False,2026-07-20 ratio=100.37 momentum=104.09; 2026-07-21 ratio=100.10 momentum=103.32; 2026-07-22 ratio=102.10 momentum=103.11; 2026-07-23 ratio=102.86 momentum=102.92; 2026-07-27 ratio=102.26 momentum=102.50,173.16
stock,Eicher Motors,EICHERMOT.NS,2/3 Wheelers,Automobile and Auto Components,213259.68,1.06,1519.95,11.58,6080.09,16.01,38.37,30.52,,stage_2,5,7769.5,7313.5,0.56,0.32378,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.99,102.4,1.13,1.02,False,False,2026-07-20 ratio=100.86 momentum=101.38; 2026-07-21 ratio=101.57 momentum=101.67; 2026-07-22 ratio=101.52 momentum=101.08; 2026-07-23 ratio=102.08 momentum=102.15; 2026-07-27 ratio=101.99 momentum=102.40,168.07
stock,TVS Motor Co.,TVSMOTOR.NS,2/3 Wheelers,Automobile and Auto Components,184169.9,0.31,1057.61,67.11,16295.52,33.46,53.24,17.37,,stage_2,5,3876.4,3606.24,0.17,0.16154,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,102.68,101.41,2.11,4.08,True,False,2026-07-20 ratio=100.57 momentum=97.33; 2026-07-21 ratio=102.69 momentum=101.16; 2026-07-22 ratio=103.63 momentum=101.82; 2026-07-23 ratio=103.44 momentum=101.68; 2026-07-27 ratio=102.68 momentum=101.41,175.79
stock,Hero Motocorp,HEROMOTOCO.NS,2/3 Wheelers,Automobile and Auto Components,102329.65,3.62,1473.92,25.72,12978.28,30.18,17.81,35.22,,not_stage_2,3,5113.8,5217.39,-2.08,0.21311,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,101.6,102.03,2.08,-2.72,False,False,2026-07-20 ratio=99.52 momentum=104.75; 2026-07-21 ratio=100.19 momentum=102.78; 2026-07-22 ratio=100.19 momentum=102.12; 2026-07-23 ratio=102.55 momentum=103.18; 2026-07-27 ratio=101.60 momentum=102.03,98.15
stock,Ather Energy,ATHERENERG.NS,2/3 Wheelers,Automobile and Auto Components,47862.49,0.0,-100.23,57.23,1174.66,73.75,,-19.77,,stage_2,5,1214.9,879.11,8.8,0.05063,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.22,96.98,-0.94,-4.39,False,False,2026-07-20 ratio=102.16 momentum=101.37; 2026-07-21 ratio=101.99 momentum=100.48; 2026-07-22 ratio=101.79 momentum=96.87; 2026-07-23 ratio=101.48 momentum=96.35; 2026-07-27 ratio=101.22 momentum=96.98,148.7
stock,Ola Electric,OLAELEC.NS,2/3 Wheelers,Automobile and Auto Components,17254.73,0.0,-500.0,42.53,265.0,-56.63,,-19.56,,not_stage_2,2,37.27,35.24,0.65,0.00155,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.84,97.59,-0.48,1.24,False,False,2026-07-20 ratio=99.32 momentum=96.35; 2026-07-21 ratio=99.19 momentum=95.98; 2026-07-22 ratio=98.69 momentum=96.05; 2026-07-23 ratio=98.83 momentum=97.18; 2026-07-27 ratio=98.84 momentum=97.59,41.3
stock,Tunwal E-Motors,TUNWAL.NS,2/3 Wheelers,Automobile and Auto Components,151.15,0.38,4.23,-34.72,132.45,27.15,11.87,13.28,,not_stage_2,0,26.5,30.16,-5.03,0.00111,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,99.3,102.55,0.58,-1.66,False,False,2026-07-17 ratio=98.72 momentum=104.20; 2026-07-20 ratio=99.05 momentum=103.23; 2026-07-21 ratio=99.26 momentum=103.17; 2026-07-22 ratio=99.31 momentum=102.43; 2026-07-23 ratio=99.30 momentum=102.55,12.75
stock,Delta Auto.,DELTIC.NS,2/3 Wheelers,Automobile and Auto Components,53.82,0.0,3.1,-47.28,37.54,-28.28,8.2,11.81,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Victory Ele.,VICTORYEV.NS,2/3 Wheelers,Automobile and Auto Components,39.75,0.0,0.53,-86.91,15.27,-52.67,18.49,10.52,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Timken India,TIMKEN.NS,Abrasives & Bearings,Capital Goods,23514.88,0.08,154.79,-17.15,1073.14,14.19,59.03,18.26,,not_stage_2,2,3126.9,3348.87,0.47,0.13031,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,98.49,103.52,0.55,1.45,False,True,2026-07-20 ratio=97.94 momentum=102.07; 2026-07-21 ratio=97.94 momentum=104.61; 2026-07-22 ratio=98.08 momentum=103.69; 2026-07-23 ratio=98.29 momentum=102.90; 2026-07-27 ratio=98.49 momentum=103.52,58.54
stock,Grindwell Norton,GRINDWELL.NS,Abrasives & Bearings,Capital Goods,22303.99,0.94,115.31,22.3,803.3,14.19,51.12,21.18,,not_stage_2,3,2014.6,1739.3,3.75,0.08396,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,leading,99.91,99.15,-0.94,-1.03,False,False,2026-07-20 ratio=100.85 momentum=100.18; 2026-07-21 ratio=100.60 momentum=100.22; 2026-07-22 ratio=100.04 momentum=99.28; 2026-07-23 ratio=99.95 momentum=99.26; 2026-07-27 ratio=99.91 momentum=99.15,67.5
stock,Carborundum Uni.,CARBORUNIV.NS,Abrasives & Bearings,Capital Goods,20444.74,0.37,-40.01,-17.82,1398.35,14.89,79.49,10.52,,not_stage_2,3,1073.1,942.09,3.1,0.04472,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,99.57,97.84,-0.12,1.25,False,False,2026-07-20 ratio=99.69 momentum=96.59; 2026-07-21 ratio=99.65 momentum=98.02; 2026-07-22 ratio=99.51 momentum=97.62; 2026-07-23 ratio=99.35 momentum=96.49; 2026-07-27 ratio=99.57 momentum=97.84,66.2
