level,name,symbol,parent,sector,market_cap_cr,dividend_yield_pct,np_qtr_cr,qtr_profit_var_pct,sales_qtr_cr,qtr_sales_var_pct,pe,roce,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,stock_score
stock,Bajaj Auto,BAJAJ-AUTO.NS,2/3 Wheelers,Automobile and Auto Components,314372.02,1.31,3188.75,45.93,21688.83,65.14,26.67,28.24,,stage_2,5,11432.0,9901.27,2.26,0.47012,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.94,101.94,-0.44,-0.64,False,False,2026-07-24 ratio=102.38 momentum=102.57; 2026-07-27 ratio=102.12 momentum=101.77; 2026-07-28 ratio=102.41 momentum=102.45; 2026-07-29 ratio=101.92 momentum=101.75; 2026-07-30 ratio=101.94 momentum=101.94,168.92
stock,Eicher Motors,EICHERMOT.NS,2/3 Wheelers,Automobile and Auto Components,217129.18,1.04,1462.51,21.35,6632.42,31.55,37.33,30.53,,stage_2,5,7912.5,7318.27,0.63,0.32539,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.87,103.28,0.19,1.15,False,False,2026-07-24 ratio=101.68 momentum=102.13; 2026-07-27 ratio=101.91 momentum=103.18; 2026-07-28 ratio=102.12 momentum=103.78; 2026-07-29 ratio=101.39 momentum=101.93; 2026-07-30 ratio=101.87 momentum=103.28,172.01
stock,TVS Motor Co.,TVSMOTOR.NS,2/3 Wheelers,Automobile and Auto Components,200151.74,0.29,1057.61,67.11,16295.52,33.46,57.86,17.37,,stage_2,5,4208.4,3617.3,0.48,0.17306,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,103.14,102.62,0.26,1.06,False,False,2026-07-24 ratio=102.87 momentum=101.55; 2026-07-27 ratio=102.43 momentum=100.71; 2026-07-28 ratio=102.90 momentum=101.56; 2026-07-29 ratio=102.84 momentum=101.58; 2026-07-30 ratio=103.14 momentum=102.62,174.76
stock,Hero Motocorp,HEROMOTOCO.NS,2/3 Wheelers,Automobile and Auto Components,106613.68,3.47,1473.92,25.72,12978.28,30.18,18.56,35.22,,not_stage_2,4,5325.0,5224.43,-1.95,0.21898,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,102.9,103.0,1.87,1.34,False,False,2026-07-24 ratio=101.02 momentum=101.67; 2026-07-27 ratio=101.66 momentum=102.00; 2026-07-28 ratio=102.12 momentum=102.49; 2026-07-29 ratio=101.40 momentum=102.09; 2026-07-30 ratio=102.90 momentum=103.00,129.5
stock,Ather Energy,ATHERENERG.NS,2/3 Wheelers,Automobile and Auto Components,48903.08,0.0,-100.23,57.23,1174.66,73.75,,-19.77,,stage_2,5,1240.9,879.97,8.91,0.05103,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.11,97.32,-0.15,0.29,False,False,2026-07-24 ratio=101.26 momentum=97.03; 2026-07-27 ratio=101.17 momentum=98.55; 2026-07-28 ratio=101.02 momentum=98.16; 2026-07-29 ratio=101.23 momentum=96.66; 2026-07-30 ratio=101.11 momentum=97.32,148.37
stock,Ola Electric,OLAELEC.NS,2/3 Wheelers,Automobile and Auto Components,17481.58,0.0,-500.0,42.53,265.0,-56.63,,-19.56,,not_stage_2,2,37.78,35.26,0.69,0.00155,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.78,96.73,-0.11,-0.95,False,False,2026-07-24 ratio=98.89 momentum=97.67; 2026-07-27 ratio=98.83 momentum=97.63; 2026-07-28 ratio=98.77 momentum=97.90; 2026-07-29 ratio=98.99 momentum=97.26; 2026-07-30 ratio=98.78 momentum=96.73,41.38
stock,Tunwal E-Motors,TUNWAL.NS,2/3 Wheelers,Automobile and Auto Components,153.75,0.38,4.23,-34.72,132.45,27.15,12.08,13.28,,not_stage_2,0,26.3,29.84,-4.41,0.00108,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,99.12,102.05,-0.18,-0.5,False,False,2026-07-23 ratio=99.30 momentum=102.55; 2026-07-24 ratio=99.30 momentum=102.57; 2026-07-27 ratio=99.13 momentum=102.15; 2026-07-28 ratio=99.20 momentum=102.24; 2026-07-29 ratio=99.12 momentum=102.05,10.25
stock,Delta Auto.,DELTIC.NS,2/3 Wheelers,Automobile and Auto Components,54.96,0.0,3.1,-47.28,37.54,-28.28,8.38,11.81,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Victory Ele.,VICTORYEV.NS,2/3 Wheelers,Automobile and Auto Components,39.75,0.0,0.53,-86.91,15.27,-52.67,18.49,10.52,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Timken India,TIMKEN.NS,Abrasives & Bearings,Capital Goods,23294.49,0.08,154.79,-17.15,1073.14,14.19,58.47,18.26,,not_stage_2,2,3097.6,3347.89,0.44,0.12738,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,98.48,102.29,-0.12,-1.34,False,False,2026-07-24 ratio=98.61 momentum=103.63; 2026-07-27 ratio=98.55 momentum=103.37; 2026-07-28 ratio=98.42 momentum=102.77; 2026-07-29 ratio=98.44 momentum=101.82; 2026-07-30 ratio=98.48 momentum=102.29,52.33
stock,Grindwell Norton,GRINDWELL.NS,Abrasives & Bearings,Capital Goods,23260.7,0.9,115.31,22.3,803.3,14.19,53.31,21.18,,stage_2,5,2101.8,1742.21,3.93,0.08643,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.39,92.52,0.32,-6.82,False,False,2026-07-24 ratio=100.07 momentum=99.34; 2026-07-27 ratio=99.86 momentum=99.33; 2026-07-28 ratio=100.14 momentum=99.88; 2026-07-29 ratio=100.66 momentum=100.21; 2026-07-30 ratio=100.39 momentum=92.52,134.81
stock,Carborundum Uni.,CARBORUNIV.NS,Abrasives & Bearings,Capital Goods,19986.79,0.38,-40.01,-17.82,1398.35,14.89,77.71,10.52,,not_stage_2,3,1051.0,941.36,3.02,0.04322,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.94,96.25,-0.65,-1.72,False,False,2026-07-24 ratio=99.60 momentum=97.97; 2026-07-27 ratio=99.56 momentum=99.32; 2026-07-28 ratio=99.36 momentum=98.64; 2026-07-29 ratio=99.06 momentum=96.66; 2026-07-30 ratio=98.94 momentum=96.25,66.04
stock,SKF India Indus.,SKFINDUS.NS,Abrasives & Bearings,Capital Goods,13203.39,0.37,118.97,-1.93,945.72,31.24,35.54,29.89,,insufficient_data,0,,,,,{},weakening,weakening,100.21,97.98,-0.58,0.3,False,False,2026-07-24 ratio=100.79 momentum=97.68; 2026-07-27 ratio=100.60 momentum=98.22; 2026-07-28 ratio=100.64 momentum=98.43; 2026-07-29 ratio=100.25 momentum=97.00; 2026-07-30 ratio=100.21 momentum=97.98,1.05
stock,SKF India,SKFINDIA.NS,Abrasives & Bearings,Capital Goods,7285.15,2.72,-20.23,-128.78,594.54,20.68,24.64,13.33,,not_stage_2,0,1472.4,1649.43,-2.36,0.06055,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,98.15,102.04,-0.2,0.67,False,False,2026-07-24 ratio=98.36 momentum=101.37; 2026-07-27 ratio=98.21 momentum=100.66; 2026-07-28 ratio=98.16 momentum=100.17; 2026-07-29 ratio=98.18 momentum=101.43; 2026-07-30 ratio=98.15 momentum=102.04,10.2
stock,Wendt India,WENDT.NS,Abrasives & Bearings,Capital Goods,1619.46,0.37,6.18,63.49,71.28,36.63,95.54,7.82,,not_stage_2,4,8104.0,7141.47,-0.22,0.33326,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,100.97,100.26,-0.63,-1.03,False,False,2026-07-24 ratio=101.60 momentum=101.29; 2026-07-27 ratio=101.86 momentum=101.56; 2026-07-28 ratio=101.76 momentum=101.13; 2026-07-29 ratio=101.34 momentum=100.74; 2026-07-30 ratio=100.97 momentum=100.26,106.15
stock,SKP Bearing,SKP.NS,Abrasives & Bearings,Capital Goods,259.46,0.71,-0.95,,37.99,,294.84,11.38,,not_stage_2,3,159.2,158.15,-1.96,0.00655,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': False}",improving,leading,99.89,102.31,-0.23,0.22,False,False,2026-07-23 ratio=100.12 momentum=102.09; 2026-07-24 ratio=100.01 momentum=102.73; 2026-07-27 ratio=99.92 momentum=103.22; 2026-07-28 ratio=100.17 momentum=102.15; 2026-07-29 ratio=99.89 momentum=102.31,71.55
stock,NRB Indl Bearing,NIBL.NS,Abrasives & Bearings,Capital Goods,87.55,0.0,-6.74,3.16,20.58,27.75,,-18.17,,stage_2,5,35.91,31.0,1.54,0.00148,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.62,96.56,-1.76,-8.82,False,False,2026-07-24 ratio=103.38 momentum=105.38; 2026-07-27 ratio=102.81 momentum=106.94; 2026-07-28 ratio=102.64 momentum=100.12; 2026-07-29 ratio=102.51 momentum=100.60; 2026-07-30 ratio=101.62 momentum=96.56,136.18
stock,Signpost India,SIGNPOST.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",1660.39,0.16,21.01,2183.7,161.92,46.08,23.71,25.13,,stage_2,5,311.2,256.66,5.17,0.0128,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.79,97.16,-0.34,-1.62,False,False,2026-07-24 ratio=101.13 momentum=98.78; 2026-07-27 ratio=100.81 momentum=98.02; 2026-07-28 ratio=100.76 momentum=97.68; 2026-07-29 ratio=100.69 momentum=97.72; 2026-07-30 ratio=100.79 momentum=97.16,139.29
stock,R K Swamy,RKSWAMY.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",527.02,1.92,15.94,29.28,100.88,20.8,21.64,12.26,,not_stage_2,3,104.39,97.73,-1.29,0.00429,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': False}",weakening,weakening,100.75,99.91,0.12,0.44,False,False,2026-07-24 ratio=100.62 momentum=99.47; 2026-07-27 ratio=101.96 momentum=102.73; 2026-07-28 ratio=101.11 momentum=100.72; 2026-07-29 ratio=100.52 momentum=99.86; 2026-07-30 ratio=100.75 momentum=99.91,63.75
stock,Yaap Digital,YAAP.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",313.15,0.0,19.0,84.08,135.66,28.14,16.96,30.86,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Vertoz,VERTOZ.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",304.27,0.28,6.25,-2.33,73.69,13.06,11.67,14.16,,not_stage_2,0,35.7,45.82,-9.65,0.00147,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,98.67,101.24,0.08,0.98,False,True,2026-07-24 ratio=98.59 momentum=100.26; 2026-07-27 ratio=98.56 momentum=100.52; 2026-07-28 ratio=98.52 momentum=97.49; 2026-07-29 ratio=98.66 momentum=101.54; 2026-07-30 ratio=98.67 momentum=101.24,6.2
stock,Simca Advertis.,SIMCA.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",259.43,0.0,9.04,1164.71,78.51,107.37,15.6,97.5,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Cash UR Drive,CUDML.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",238.92,0.0,18.52,94.54,108.79,43.71,8.13,40.31,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Pramara Promotio,PRAMARA.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",178.28,0.0,3.91,5.96,59.27,6.49,17.76,14.95,,not_stage_2,0,122.3,273.0,-9.64,0.00503,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,improving,99.28,97.69,-0.19,-6.05,False,False,2026-07-23 ratio=99.47 momentum=103.74; 2026-07-24 ratio=99.50 momentum=105.00; 2026-07-27 ratio=99.52 momentum=104.24; 2026-07-28 ratio=99.43 momentum=101.89; 2026-07-29 ratio=99.28 momentum=97.69,0.0
stock,Digicontent,DGCONTENT.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",143.56,0.0,0.9,-85.53,118.35,3.34,38.38,23.95,,not_stage_2,0,24.35,27.12,-3.51,0.001,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.15,95.96,-0.02,-2.39,False,False,2026-07-24 ratio=98.17 momentum=98.36; 2026-07-27 ratio=98.75 momentum=99.43; 2026-07-28 ratio=98.51 momentum=98.63; 2026-07-29 ratio=98.90 momentum=98.99; 2026-07-30 ratio=98.15 momentum=95.96,0.0
stock,Value 360 Commu.,VALUE360.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",119.07,0.0,4.99,131.34,35.84,16.97,12.0,38.64,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Crayons Advertis,CRAYONS.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",66.7,0.0,0.68,-94.03,171.88,26.88,17.74,5.55,,not_stage_2,0,26.0,33.47,-4.86,0.00107,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.79,98.91,0.46,1.0,False,False,2026-07-23 ratio=98.32 momentum=97.90; 2026-07-24 ratio=98.16 momentum=97.76; 2026-07-27 ratio=98.53 momentum=98.57; 2026-07-28 ratio=98.59 momentum=98.45; 2026-07-29 ratio=98.79 momentum=98.91,0.0
stock,Hind.Aeronautics,HAL.NS,Aerospace & Defense,Capital Goods,306526.08,0.98,4196.04,5.52,13942.4,1.77,33.63,31.96,,stage_2,5,4581.4,4263.46,0.57,0.1884,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.13,101.48,-1.3,-0.76,False,False,2026-07-24 ratio=102.44 momentum=102.24; 2026-07-27 ratio=102.55 momentum=102.10; 2026-07-28 ratio=102.19 momentum=102.08; 2026-07-29 ratio=101.44 momentum=101.75; 2026-07-30 ratio=101.13 momentum=101.48,159.19
stock,Bharat Electron,BEL.NS,Aerospace & Defense,Capital Goods,281280.81,0.62,1054.53,8.7,5546.98,24.94,45.76,36.53,,not_stage_2,2,384.9,425.09,0.24,0.01583,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,improving,96.67,98.13,-2.37,-2.98,False,False,2026-07-24 ratio=99.04 momentum=101.11; 2026-07-27 ratio=98.85 momentum=102.01; 2026-07-28 ratio=96.88 momentum=96.95; 2026-07-29 ratio=96.62 momentum=97.32; 2026-07-30 ratio=96.67 momentum=98.13,40.48
stock,Bharat Dynamics,BDL.NS,Aerospace & Defense,Capital Goods,45673.65,0.37,113.18,-58.51,480.2,-72.98,108.66,13.84,,not_stage_2,1,1245.9,1323.99,-1.65,0.05124,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.91,99.27,-0.31,4.05,False,False,2026-07-24 ratio=99.23 momentum=95.22; 2026-07-27 ratio=99.28 momentum=98.76; 2026-07-28 ratio=99.57 momentum=101.60; 2026-07-29 ratio=99.20 momentum=100.22; 2026-07-30 ratio=98.91 momentum=99.27,20.0
stock,Garden Reach Sh.,GRSE.NS,Aerospace & Defense,Capital Goods,29638.98,0.54,172.84,43.82,1814.62,38.53,37.02,42.96,,not_stage_2,3,2586.2,2572.71,1.07,0.10635,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.29,99.21,-0.37,0.61,False,False,2026-07-24 ratio=98.65 momentum=98.60; 2026-07-27 ratio=99.48 momentum=102.13; 2026-07-28 ratio=99.02 momentum=100.77; 2026-07-29 ratio=98.84 momentum=100.13; 2026-07-30 ratio=98.29 momentum=99.21,62.14
stock,Data Pattern,DATAPATTNS.NS,Aerospace & Defense,Capital Goods,24982.02,0.22,22.06,-13.49,116.03,16.81,92.44,21.92,,stage_2,4,4462.0,3628.82,6.9,0.18349,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': False, 'near_52w_high': True}",leading,leading,100.1,100.86,-0.91,-0.25,False,False,2026-07-24 ratio=101.02 momentum=101.11; 2026-07-27 ratio=100.81 momentum=101.14; 2026-07-28 ratio=100.12 momentum=100.52; 2026-07-29 ratio=100.10 momentum=100.65; 2026-07-30 ratio=100.10 momentum=100.86,143.6
stock,Astra Microwave,ASTRAMICRO.NS,Aerospace & Defense,Capital Goods,16384.28,0.13,105.98,44.21,488.24,19.71,84.91,20.25,,stage_2,5,1726.0,1219.99,9.93,0.07098,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.52,97.9,-0.7,-0.38,False,False,2026-07-24 ratio=101.22 momentum=98.29; 2026-07-27 ratio=101.06 momentum=100.30; 2026-07-28 ratio=100.60 momentum=97.30; 2026-07-29 ratio=100.81 momentum=98.17; 2026-07-30 ratio=100.52 momentum=97.90,147.46
stock,Aequs,AEQUS.NS,Aerospace & Defense,Capital Goods,15321.34,0.0,-53.23,-1457.91,395.55,54.77,,1.55,,insufficient_data,0,,,,,{},weakening,weakening,100.31,97.4,-0.37,0.41,False,False,2026-07-24 ratio=100.68 momentum=96.99; 2026-07-27 ratio=100.58 momentum=97.18; 2026-07-28 ratio=100.49 momentum=96.78; 2026-07-29 ratio=100.39 momentum=96.43; 2026-07-30 ratio=100.31 momentum=97.40,1.55
stock,Zen Technologies,ZENTEC.NS,Aerospace & Defense,Capital Goods,14587.28,0.06,31.85,-23.2,141.64,-10.48,80.28,16.18,,not_stage_2,3,1615.4,1555.84,3.42,0.06643,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,weakening,98.08,97.2,-2.07,0.54,False,False,2026-07-24 ratio=100.15 momentum=96.66; 2026-07-27 ratio=99.14 momentum=96.53; 2026-07-28 ratio=98.62 momentum=97.00; 2026-07-29 ratio=98.45 momentum=97.07; 2026-07-30 ratio=98.08 momentum=97.20,66.84
stock,Apollo Micro Sys,APOLLO.NS,Aerospace & Defense,Capital Goods,14052.01,0.07,36.79,168.71,293.26,81.28,124.44,14.47,,not_stage_2,3,378.1,302.9,6.64,0.01555,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.36,96.97,-1.51,-0.3,False,False,2026-07-24 ratio=99.87 momentum=97.27; 2026-07-27 ratio=99.63 momentum=97.12; 2026-07-28 ratio=98.95 momentum=96.02; 2026-07-29 ratio=98.74 momentum=96.59; 2026-07-30 ratio=98.36 momentum=96.97,73.28
stock,Sigma Advanced System,SIGMAADV.NS,Aerospace & Defense,Capital Goods,11393.22,0.0,128.45,1400.69,322.82,469.05,41.08,60.82,,stage_2,5,599.4,313.84,18.83,0.02465,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,101.18,100.29,0.67,2.77,True,False,2026-07-24 ratio=100.51 momentum=97.52; 2026-07-27 ratio=100.73 momentum=98.02; 2026-07-28 ratio=101.03 momentum=99.33; 2026-07-29 ratio=101.29 momentum=100.83; 2026-07-30 ratio=101.18 momentum=100.29,200.01
stock,Hindalco Inds.,HINDALCO.NS,Aluminium,Metals & Mining,218116.19,0.52,2597.0,-22.12,78133.0,20.41,12.93,13.21,,not_stage_2,2,970.4,976.91,1.11,0.03991,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,99.25,102.04,0.22,0.04,False,True,2026-07-24 ratio=99.03 momentum=102.00; 2026-07-27 ratio=98.98 momentum=101.47; 2026-07-28 ratio=98.92 momentum=99.64; 2026-07-29 ratio=99.15 momentum=102.35; 2026-07-30 ratio=99.25 momentum=102.04,52.42
stock,Vedanta Aluminium Metal,VAML.NS,Aluminium,Metals & Mining,178663.32,0.0,6597.0,216.06,21393.0,45.99,11.29,,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
