level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,2/3 Wheelers,equal_weight_top_members,Automobile and Auto Components,Automobiles,9,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101002/,,stage_2,5,173.42,137.08,2.87,0.00704,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,103.04,101.48,1.21,2.44,True,False,2026-07-30 ratio=101.84 momentum=99.04; 2026-07-31 ratio=101.86 momentum=99.64; 2026-08-03 ratio=101.81 momentum=98.56; 2026-08-04 ratio=102.93 momentum=101.65; 2026-08-05 ratio=103.04 momentum=101.48,True
industry,Abrasives & Bearings,equal_weight_top_members,Capital Goods,Industrial Products,8,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205016/,,stage_2,5,92.33,83.8,1.32,0.00375,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,lagging,100.34,101.55,0.59,3.54,True,False,2026-07-30 ratio=99.74 momentum=98.00; 2026-07-31 ratio=99.21 momentum=99.87; 2026-08-03 ratio=99.43 momentum=99.51; 2026-08-04 ratio=99.88 momentum=100.24; 2026-08-05 ratio=100.34 momentum=101.55,True
industry,Advertising & Media Agencies,equal_weight_top_members,"Media, Entertainment & Publication",Media,10,https://www.screener.in/market/IN02/IN0204/IN020401/IN020401001/,,not_stage_2,0,66.42,83.22,-4.18,0.0027,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.07,98.35,-1.33,0.37,False,False,2026-07-30 ratio=99.39 momentum=97.98; 2026-07-31 ratio=99.33 momentum=97.61; 2026-08-03 ratio=97.92 momentum=96.33; 2026-08-04 ratio=97.90 momentum=97.49; 2026-08-05 ratio=98.07 momentum=98.35,False
industry,Aerospace & Defense,equal_weight_top_members,Capital Goods,Aerospace & Defense,10,https://www.screener.in/market/IN07/IN0702/IN070201/IN070201001/,,stage_2,5,179.52,126.26,7.71,0.00729,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,101.73,102.47,1.18,4.41,True,False,2026-07-30 ratio=100.55 momentum=98.06; 2026-07-31 ratio=100.90 momentum=102.06; 2026-08-03 ratio=101.10 momentum=103.52; 2026-08-04 ratio=101.64 momentum=103.72; 2026-08-05 ratio=101.73 momentum=102.47,True
industry,Aluminium,equal_weight_top_members,Metals & Mining,Non - Ferrous Metals,8,https://www.screener.in/market/IN01/IN0103/IN010302/IN010302001/,,stage_2,5,142.94,136.11,0.71,0.0058,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,lagging,100.34,102.95,1.4,3.1,True,False,2026-07-30 ratio=98.94 momentum=99.85; 2026-07-31 ratio=98.97 momentum=103.47; 2026-08-03 ratio=99.37 momentum=104.10; 2026-08-04 ratio=99.85 momentum=103.49; 2026-08-05 ratio=100.34 momentum=102.95,True
industry,"Aluminium, Copper & Zinc Products",equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205014/,,stage_2,5,131.35,115.62,2.39,0.00533,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,lagging,100.63,101.86,2.62,3.12,True,False,2026-07-30 ratio=98.01 momentum=98.74; 2026-07-31 ratio=98.36 momentum=100.31; 2026-08-03 ratio=98.81 momentum=100.60; 2026-08-04 ratio=100.07 momentum=102.52; 2026-08-05 ratio=100.63 momentum=101.86,True
industry,Amusement Parks/ Other Recreation,equal_weight_top_members,Consumer Services,Leisure Services,3,https://www.screener.in/market/IN02/IN0206/IN020601/IN020601003/,,not_stage_2,4,70.22,68.55,-0.86,0.00285,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,lagging,100.18,101.59,2.12,5.38,True,False,2026-07-30 ratio=98.06 momentum=96.21; 2026-07-31 ratio=98.41 momentum=98.88; 2026-08-03 ratio=99.13 momentum=101.74; 2026-08-04 ratio=100.15 momentum=102.48; 2026-08-05 ratio=100.18 momentum=101.59,False
industry,Animal Feed,equal_weight_top_members,Fast Moving Consumer Goods,Food Products,5,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104001/,,not_stage_2,2,101.0,113.06,1.79,0.0041,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,97.7,96.89,-1.23,-0.95,False,False,2026-07-30 ratio=98.93 momentum=97.84; 2026-07-31 ratio=98.33 momentum=96.77; 2026-08-03 ratio=97.95 momentum=95.43; 2026-08-04 ratio=97.89 momentum=96.71; 2026-08-05 ratio=97.70 momentum=96.89,False
industry,Asset Management Company,equal_weight_top_members,Financial Services,Capital Markets,8,https://www.screener.in/market/IN05/IN0501/IN050103/IN050103001/,,not_stage_2,3,109.07,104.04,1.4,0.00443,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.5,99.31,0.13,1.98,False,False,2026-07-30 ratio=98.37 momentum=97.33; 2026-07-31 ratio=98.49 momentum=96.07; 2026-08-03 ratio=98.31 momentum=92.35; 2026-08-04 ratio=98.56 momentum=97.17; 2026-08-05 ratio=98.50 momentum=99.31,False
industry,Auto Components & Equipments,equal_weight_top_members,Automobile and Auto Components,Auto Components,10,https://www.screener.in/market/IN02/IN0201/IN020102/IN020102001/,,stage_2,5,124.93,107.89,2.27,0.00507,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,102.84,102.16,1.66,1.48,False,False,2026-07-30 ratio=101.18 momentum=100.68; 2026-07-31 ratio=101.48 momentum=101.65; 2026-08-03 ratio=101.11 momentum=99.50; 2026-08-04 ratio=101.75 momentum=100.46; 2026-08-05 ratio=102.84 momentum=102.16,False
